state,group1,group2,abc_Check
AK,100,100,200
AL,100,100,200
AR,100,100,200
AZ,100,100,200
CA,100,100,200
CO,100,100,200
CT,100,100,200
DC,100,100,200
DE,100,100,200
GA,100,100,200
IA,100,100,200
ID,100,100,200
IL,100,100,200
IN,100,100,200
KS,100,100,200
KY,100,100,200
LA,100,100,200
MA,100,100,200
MD,100,100,200
ME,100,100,200
MI,100,100,200
MN,100,100,200
MO,100,100,200
MS,100,100,200
MT,100,100,200
NC,100,100,200
ND,100,100,200
NE,100,100,200
NH,100,100,200
NJ,100,100,200
NM,100,100,200
NV,100,100,200
NY,100,100,200
OH,100,100,200
OK,100,100,200
OR,100,100,200
PA,100,100,200
RI,100,100,200
SC,100,100,200
SD,100,100,200
TN,100,100,200
TX,100,100,200
UT,100,100,200
VA,100,100,200
VT,100,100,200
WA,100,100,200
WI,100,100,200
WV,100,100,200
WY,100,100,200
