Increase,BuildingGroup1,BuildingGroup2,ContentsGroup1,ContentsGroup2,ABCGroup1,ABCGroup2
2,  -0.030,  -0.030,  -0.030,  -0.030,  -0.030,  -0.030
4,  -0.020,  -0.020,  -0.020,  -0.020,  -0.020,  -0.020
6,  -0.010,  -0.010,  -0.010,  -0.010,  -0.010,  -0.010
8,  0   ,  0   ,  0   ,  0   ,  0   ,  0  
10,  0.010 ,  0.010 ,  0.010 ,  0.010 ,  0.010 ,  0.010 
12,  0.020 ,  0.020 ,  0.020 ,  0.020 ,  0.020 ,  0.020 
14,  0.030 ,  0.030 ,  0.030 ,  0.030 ,  0.030 ,  0.030 
16,  0.040 ,  0.040 ,  0.040 ,  0.040 ,  0.040 ,  0.040 
18,  0.050 ,  0.050 ,  0.050 ,  0.050 ,  0.050 ,  0.050 
20,  0.060 ,  0.060 ,  0.060 ,  0.060 ,  0.060 ,  0.060 
22,  0.070 ,  0.070 ,  0.070 ,  0.070 ,  0.070 ,  0.070 
24,  0.080 ,  0.080 ,  0.080 ,  0.080 ,  0.080 ,  0.080 
26,  0.090 ,  0.090 ,  0.090 ,  0.090 ,  0.090 ,  0.090 
28,  0.100 ,  0.100 ,  0.100 ,  0.100 ,  0.100 ,  0.100 
30,  0.110 ,  0.110 ,  0.110 ,  0.110 ,  0.110 ,  0.110 
