classCode,BFrame,BJoistedMasonry,BnonComb,BmasNonComb,BfireRes,CFrame,CjoistedMasonry,CnonComb,CmasNonComb,CfireRes,ABCFrame,ABCJoistedMasonry,ABCNonComb,ABCMasNonComb,ABCFireRes
74,0.131,0.118,0.105,0.085,0.078,0.131,0.119,0.113,0.099,0.092,0,0,0,0,0
75,0.131,0.118,0.105,0.085,0.078,0.131,0.119,0.113,0.099,0.092,0,0,0,0,0
76,0.131,0.118,0.105,0.085,0.078,0.131,0.119,0.113,0.099,0.092,0,0,0,0,0
77,0.12,0.107,0.095,0.077,0.072,0.124,0.113,0.106,0.094,0.087,0,0,0,0,0
78,0.12,0.107,0.095,0.077,0.072,0.124,0.113,0.106,0.094,0.087,0,0,0,0,0
79,0.12,0.107,0.095,0.077,0.072,0.124,0.113,0.106,0.094,0.087,0,0,0,0,0
196,0.081,0.073,0.065,0.052,0.048,0.09,0.081,0.075,0.067,0.063,0,0,0,0,0
197,0.081,0.073,0.065,0.052,0.048,0.09,0.081,0.075,0.067,0.063,0,0,0,0,0
198,0.081,0.073,0.065,0.052,0.048,0.09,0.081,0.075,0.067,0.063,0,0,0,0,0
311,0.1,0.091,0.081,0.066,0.06,0.115,0.102,0.097,0.085,0.08,0,0,0,0,0
312,0.1,0.091,0.081,0.066,0.06,0.115,0.102,0.097,0.085,0.08,0,0,0,0,0
313,0.1,0.091,0.081,0.066,0.06,0.115,0.102,0.097,0.085,0.08,0,0,0,0,0
321,0.155,0.14,0.124,0.1,0.092,0.231,0.207,0.196,0.173,0.161,0.27,0.242,0.23,0.202,0.19
322,0.155,0.14,0.124,0.1,0.092,0.231,0.207,0.196,0.173,0.161,0.27,0.242,0.23,0.202,0.19
323,0.155,0.14,0.124,0.1,0.092,0.231,0.207,0.196,0.173,0.161,0.27,0.242,0.23,0.202,0.19
331,0.056,0.051,0.045,0.036,0.035,0.05,0.044,0.042,0.037,0.035,0,0,0,0,0
332,0.056,0.051,0.045,0.036,0.035,0.05,0.044,0.042,0.037,0.035,0,0,0,0,0
333,0.056,0.051,0.045,0.036,0.035,0.05,0.044,0.042,0.037,0.035,0,0,0,0,0
341,0.087,0.079,0.07,0.057,0.052,0.099,0.09,0.084,0.075,0.069,0.116,0.105,0.099,0.087,0.082
342,0.087,0.079,0.07,0.057,0.052,0.099,0.09,0.084,0.075,0.069,0.116,0.105,0.099,0.087,0.082
343,0.087,0.079,0.07,0.057,0.052,0.099,0.09,0.084,0.075,0.069,0.116,0.105,0.099,0.087,0.082
511,0.122,0.109,0.098,0.079,0.073,0.177,0.159,0.15,0.132,0.125,0,0,0,0,0
512,0.116,0.104,0.092,0.076,0.069,0.158,0.142,0.134,0.118,0.11,0,0,0,0,0
520,0.144,0.13,0.116,0.094,0.086,0.23,0.207,0.195,0.172,0.161,0,0,0,0,0
531,0.122,0.11,0.099,0.08,0.073,0.187,0.167,0.158,0.14,0.13,0,0,0,0,0
532,0.188,0.169,0.15,0.122,0.113,0.23,0.207,0.195,0.172,0.161,0,0,0,0,0
533,0.147,0.132,0.118,0.095,0.088,0.185,0.166,0.156,0.139,0.129,0,0,0,0,0
534,0.206,0.185,0.165,0.133,0.124,0.193,0.173,0.165,0.145,0.136,0,0,0,0,0
541,0.351,0.316,0.281,0.228,0.212,0.376,0.338,0.32,0.281,0.263,0,0,0,0,0
545,0.414,0.373,0.332,0.268,0.25,0.468,0.421,0.399,0.351,0.326,0,0,0,0,0
