From,To,Range,BuildingGroup1,BuildingGroup2,BPPFactor,ContentsGroup1,ContentsGroup2,ABCGroup1,ABCGroup2
0,0,0,0.819,0.819,0.861,1.000,1.000,0.819,0.819
1,1,1,0.825,0.825,0.862,1.000,1.000,0.825,0.825
2,2,2,0.841,0.841,0.876,1.000,1.000,0.841,0.841
3,3,3,0.854,0.854,0.889,1.000,1.000,0.854,0.854
4,4,4.00,0.868,0.868,0.901,1.000,1.000,0.868,0.868
5,5,5.00,0.881,0.881,0.913,1.000,1.000,0.881,0.881
6,6,6.00,0.894,0.894,0.923,1.000,1.000,0.894,0.894
7,7,7.00,0.904,0.904,0.933,1.000,1.000,0.904,0.904
8,8,8.00,0.916,0.916,0.944,1.000,1.000,0.916,0.916
9,9,9.00,0.928,0.928,0.955,1.000,1.000,0.928,0.928
10,10,10,0.944,0.944,0.967,1.000,1.000,0.944,0.944
11,12,11-12,0.966,0.966,0.982,1.000,1.000,0.966,0.966
13,15,13-15,0.992,0.992,0.996,1.000,1.000,0.992,0.992
16,19,16-19,1.046,1.046,1.037,1.000,1.000,1.046,1.046
20,24,20-24,1.085,1.085,1.062,1.000,1.000,1.085,1.085
25,29,25-29,1.113,1.113,1.081,1.000,1.000,1.113,1.113
30,34,30-34,1.140,1.140,1.099,1.000,1.000,1.140,1.140
35,39,35-39,1.152,1.152,1.107,1.000,1.000,1.152,1.152
40,44,40-44,1.175,1.175,1.124,1.000,1.000,1.175,1.175
45,49,45-49,1.189,1.189,1.135,1.000,1.000,1.189,1.189
50,59,50-59,1.211,1.211,1.151,1.000,1.000,1.211,1.211
60,74,60-74,1.242,1.242,1.168,1.000,1.000,1.242,1.242
75,99,75-99,1.276,1.276,1.191,1.000,1.000,1.276,1.276
100,999,100-999,1.285,1.285,1.199,1.000,1.000,1.285,1.285
