Cov_Amt_Group,Deductible,Group,BuildingGroup1,BuildingGroup2,ContentsGroup1,ContentsGroup2,ABCGroup1,ABCGroup2
0,1000,,0.99,0.98,0.99,0.98,0.99,0.98
50001,1000,,0.97,0.97,0.97,0.97,0.97,0.97
100001,1000,,0.96,0.95,0.96,0.95,0.96,0.95
250001,1000,,0.94,0.94,0.94,0.94,0.94,0.94
0,2500,,0.96,0.95,0.96,0.95,0.96,0.95
100001,2500,,0.93,0.91,0.93,0.91,0.93,0.91
250001,2500,,0.9,0.88,0.9,0.88,0.9,0.88
500001,2500,,0.84,0.83,0.84,0.83,0.84,0.83
0,5000,,0.95,0.93,0.95,0.93,0.95,0.93
250001,5000,,0.9,0.86,0.9,0.86,0.9,0.86
500001,5000,,0.87,0.83,0.87,0.83,0.87,0.83
1000001,5000,,0.79,0.75,0.79,0.75,0.79,0.75
0,10000,,0.94,0.92,0.94,0.92,0.94,0.92
250001,10000,,0.89,0.84,0.89,0.84,0.89,0.84
500001,10000,,0.83,0.77,0.83,0.77,0.83,0.77
1000001,10000,,0.78,0.72,0.78,0.72,0.78,0.72
5000001,10000,,0.67,0.61,0.67,0.61,0.67,0.61
0,25000,,0.93,0.88,0.93,0.88,0.93,0.88
500001,25000,,0.87,0.8,0.87,0.8,0.87,0.8
1000001,25000,,0.81,0.72,0.81,0.72,0.81,0.72
5000001,25000,,0.71,0.62,0.71,0.62,0.71,0.62
10000001,25000,,0.6,0.49,0.6,0.49,0.6,0.49
0,50000,,0.9,0.81,0.9,0.81,0.9,0.81
1000001,50000,,0.81,0.71,0.81,0.71,0.81,0.71
3500001,50000,,0.77,0.66,0.77,0.66,0.77,0.66
5500001,50000,,0.72,0.6,0.72,0.6,0.72,0.6
10000001,50000,,0.53,0.43,0.53,0.43,0.53,0.43
0,75000,,0.87,0.77,0.87,0.77,0.87,0.77
1000001,75000,,0.77,0.65,0.77,0.65,0.77,0.65
3500001,75000,,0.73,0.6,0.73,0.6,0.73,0.6
5500001,75000,,0.66,0.53,0.66,0.53,0.66,0.53
10000001,75000,,0.5,0.38,0.5,0.38,0.5,0.38
0,1000,Other Cause,0.96,0.96,0.96,0.96,0.96,0.96
50001,1000,Other Cause,0.93,0.93,0.93,0.93,0.93,0.93
100001,1000,Other Cause,0.92,0.92,0.92,0.92,0.92,0.92
250001,1000,Other Cause,0.89,0.89,0.89,0.89,0.89,0.89
0,2500,Other Cause,0.89,0.89,0.89,0.89,0.89,0.89
100001,2500,Other Cause,0.82,0.82,0.82,0.82,0.82,0.82
250001,2500,Other Cause,0.79,0.79,0.79,0.79,0.79,0.79
500001,2500,Other Cause,0.71,0.71,0.71,0.71,0.71,0.71
0,5000,Other Cause,0.84,0.84,0.84,0.84,0.84,0.84
250001,5000,Other Cause,0.74,0.74,0.74,0.74,0.74,0.74
500001,5000,Other Cause,0.69,0.69,0.69,0.69,0.69,0.69
1000001,5000,Other Cause,0.59,0.59,0.59,0.59,0.59,0.59
0,10000,Other Cause,0.81,0.81,0.81,0.81,0.81,0.81
250001,10000,Other Cause,0.69,0.69,0.69,0.69,0.69,0.69
500001,10000,Other Cause,0.6,0.6,0.6,0.6,0.6,0.6
1000001,10000,Other Cause,0.54,0.54,0.54,0.54,0.54,0.54
5000001,10000,Other Cause,0.44,0.44,0.44,0.44,0.44,0.44
0,25000,Other Cause,0.71,0.71,0.71,0.71,0.71,0.71
500001,25000,Other Cause,0.6,0.6,0.6,0.6,0.6,0.6
1000001,25000,Other Cause,0.52,0.52,0.52,0.52,0.52,0.52
5000001,25000,Other Cause,0.42,0.42,0.42,0.42,0.42,0.42
10000001,25000,Other Cause,0.32,0.32,0.32,0.32,0.32,0.32
0,50000,Other Cause,0.6,0.6,0.6,0.6,0.6,0.6
1000001,50000,Other Cause,0.48,0.48,0.48,0.48,0.48,0.48
3500001,50000,Other Cause,0.44,0.44,0.44,0.44,0.44,0.44
5500001,50000,Other Cause,0.39,0.39,0.39,0.39,0.39,0.39
10000001,50000,Other Cause,0.27,0.27,0.27,0.27,0.27,0.27
0,75000,Other Cause,0.54,0.54,0.54,0.54,0.54,0.54
1000001,75000,Other Cause,0.42,0.42,0.42,0.42,0.42,0.42
3500001,75000,Other Cause,0.38,0.38,0.38,0.38,0.38,0.38
5500001,75000,Other Cause,0.33,0.33,0.33,0.33,0.33,0.33
10000001,75000,Other Cause,0.25,0.25,0.25,0.25,0.25,0.25
