State,Territory,Factor
,1,1.5
,2,1.3
,3,1
,4,0.7
,5,0.5
TX,Austin (Central),0.595
TX,Balance Central,0.595
TX,Balance Northern,1.482
TX,Balance Seacoast 1,2.126
TX,Balance Seacoast 2,1.601
TX,Dallas (Central),0.938
TX,Houston (Seacoast 2),1.601
TX,San Antonio (Central),0.595
OH,Akron,0.992
OH,Balance of State - OH,0.995
OH,Cincinnati,1.063
OH,Cleveland,1.054
OH,Columbus,0.992
OH,Dayton,0.887
OH,Toledo,1.039
IL,Chicago - Cook County,1
IL,Balance of State - Cook County,1
IL,Balance of State - IL,1.289
NC,Balance of State - Terr I,1
NC,Balance of State - Terr II,3.113
NC,Balance of State - Terr III,9.328
NC,Charlotte,1
GA,Balance of State - Inland,1
GA,Balance of State - Seacoast,2.012
GA,Balance of State - Beach,2.79
GA,Atlanta,1
GA,Dekalb County,1
MI,Michigan 1,1
MI,Michigan 2,1
CO,Balance of State - West,0.401
CO,Balance of State - East,1
CO,Denver - East,1
AL,Balance of State - Inland - AL,1
AL,Balance of State - Seacoast,1
AL,Balance of State - Beach,2.693
AL,Birmingham - Inland,1
AL,City of Mobile - Seacoast,1
AL,City of Mobile - Beach,2.491
