state,effectiveDate,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
AK,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
AL,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
AR,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
AZ,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
CA,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
CO,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
CT,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
DC,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
DE,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
GA,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
IA,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
ID,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
IL,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
IN,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
KS,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
KY,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
LA,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
MA,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
MD,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
ME,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
MI,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
MN,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
MO,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
MS,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
MT,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
NC,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
ND,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
NE,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
NH,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
NJ,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
NM,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
NV,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
NY,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
OH,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
OK,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
OR,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
PA,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
RI,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
SC,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
SD,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
TN,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
TX,01/01/25,2,2,2,2,2,2
UT,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
VA,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
VT,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
WA,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
WI,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
WV,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
WY,01/01/25,1.85,1.85,1.85,1.85,1.85,1.85
