Limit,Form,Coverage,ConstructionClass,BuildingGroup1,BuildingGroup2,ContentsGroup1,ContentsGroup2,ABCGroup1,ABCGroup2
-,Basic,Building,CC_1_3,1.172,1.33,,,1.172,1.513
50000,Basic,Building,CC_1_3,1.172,1.238,,,1.172,1.513
75000,Basic,Building,CC_1_3,1.172,1.176,,,1.172,1.363
100000,Basic,Building,CC_1_3,1.172,1.131,,,1.172,1.266
125000,Basic,Building,CC_1_3,1.128,1.095,,,1.128,1.195
150000,Basic,Building,CC_1_3,1.093,1.065,,,1.093,1.14
175000,Basic,Building,CC_1_3,1.064,1.04,,,1.064,1.096
200000,Basic,Building,CC_1_3,1.039,1.019,,,1.039,1.059
225000,Basic,Building,CC_1_3,1.018,1,,,1.018,1.027
250000,Basic,Building,CC_1_3,1,0.983,,,1,1
275000,Basic,Building,CC_1_3,0.984,0.968,,,0.984,0.976
300000,Basic,Building,CC_1_3,0.969,0.955,,,0.969,0.954
325000,Basic,Building,CC_1_3,0.956,0.942,,,0.956,0.935
350000,Basic,Building,CC_1_3,0.943,0.931,,,0.943,0.917
375000,Basic,Building,CC_1_3,0.932,0.92,,,0.932,0.901
400000,Basic,Building,CC_1_3,0.922,0.91,,,0.922,0.886
425000,Basic,Building,CC_1_3,0.912,0.901,,,0.912,0.872
450000,Basic,Building,CC_1_3,0.903,0.892,,,0.903,0.86
475000,Basic,Building,CC_1_3,0.895,0.884,,,0.895,0.848
500000,Basic,Building,CC_1_3,0.887,0.87,,,0.887,0.837
550000,Basic,Building,CC_1_3,0.872,0.856,,,0.872,0.816
600000,Basic,Building,CC_1_3,0.859,0.844,,,0.859,0.798
650000,Basic,Building,CC_1_3,0.847,0.833,,,0.847,0.782
700000,Basic,Building,CC_1_3,0.837,0.823,,,0.837,0.767
750000,Basic,Building,CC_1_3,0.827,0.814,,,0.827,0.754
800000,Basic,Building,CC_1_3,0.817,0.805,,,0.817,0.741
850000,Basic,Building,CC_1_3,0.809,0.797,,,0.809,0.73
900000,Basic,Building,CC_1_3,0.801,0.789,,,0.801,0.719
950000,Basic,Building,CC_1_3,0.793,0.782,,,0.793,0.709
1000000,Basic,Building,CC_1_3,0.786,0.752,,,0.786,0.7
1250000,Basic,Building,CC_1_3,0.757,0.728,,,0.757,0.661
1500000,Basic,Building,CC_1_3,0.733,0.708,,,0.733,0.631
1750000,Basic,Building,CC_1_3,0.714,0.692,,,0.714,0.606
2000000,Basic,Building,CC_1_3,0.697,0.677,,,0.697,0.586
2250000,Basic,Building,CC_1_3,0.683,0.665,,,0.683,0.568
2500000,Basic,Building,CC_1_3,0.671,0.654,,,0.671,0.553
2750000,Basic,Building,CC_1_3,0.66,0.644,,,0.66,0.54
3000000,Basic,Building,CC_1_3,0.65,0.635,,,0.65,0.528
3250000,Basic,Building,CC_1_3,0.641,0.626,,,0.641,0.517
3500000,Basic,Building,CC_1_3,0.633,0.619,,,0.633,0.507
3750000,Basic,Building,CC_1_3,0.625,0.612,,,0.625,0.498
4000000,Basic,Building,CC_1_3,0.618,0.605,,,0.618,0.49
4250000,Basic,Building,CC_1_3,0.612,0.599,,,0.612,0.482
4500000,Basic,Building,CC_1_3,0.606,0.593,,,0.606,0.475
4750000,Basic,Building,CC_1_3,0.6,0.588,,,0.6,0.469
5000000,Basic,Building,CC_1_3,0.595,0.578,,,0.595,0.463
5500000,Basic,Building,CC_1_3,0.585,0.569,,,0.585,0.451
6000000,Basic,Building,CC_1_3,0.576,0.561,,,0.576,0.441
6500000,Basic,Building,CC_1_3,0.569,0.554,,,0.569,0.432
7000000,Basic,Building,CC_1_3,0.561,0.547,,,0.561,0.424
7500000,Basic,Building,CC_1_3,0.555,0.541,,,0.555,0.417
8000000,Basic,Building,CC_1_3,0.548,0.535,,,0.548,0.41
8500000,Basic,Building,CC_1_3,0.543,0.53,,,0.543,0.404
9000000,Basic,Building,CC_1_3,0.537,0.525,,,0.537,0.398
