increase,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
"10%",0.010,0.010,0.010,0.010,0.010,0.010
"16%",0.040,0.040,0.040,0.040,0.040,0.040
"24%",0.080,0.080,0.080,0.080,0.080,0.080
"4%",0.020,0.020,0.020,0.020,0.020,0.020
"14%",0.030,0.030,0.030,0.030,0.030,0.030
"22%",0.070,0.070,0.070,0.070,0.070,0.070
"18%",0.050,0.050,0.050,0.050,0.050,0.050
"30%",0.110,0.110,0.110,0.110,0.110,0.110
"2%",0.030,0.030,0.030,0.030,0.030,0.030
"12%",0.020,0.020,0.020,0.020,0.020,0.020
"28%",0.100,0.100,0.100,0.100,0.100,0.100
"6%",0.010,0.010,0.010,0.010,0.010,0.010
"8%",1,1,1,1,1,1
"26%",0.090,0.090,0.090,0.090,0.090,0.090
"20%",0.060,0.060,0.060,0.060,0.060,0.060
