number,tenure,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
22,7,1,1,1,1,1,1
22,5,0.98,0.98,0.98,0.98,0.98,0.98
22,1,0.94,0.94,0.94,0.94,0.94,0.94
0,3,1,1,1,1,1,1
0,2,1,1,1,1,1,1
0,1,1,1,1,1,1,1
1,0,0.96,0.96,0.96,0.96,0.96,0.96
15,0,0.94,0.94,0.94,0.94,0.94,0.94
1,4,1,1,1,1,1,1
0,7,1,1,1,1,1,1
1,7,1,1,1,1,1,1
8,7,1,1,1,1,1,1
1,1,0.97,0.97,0.97,0.97,0.97,0.97
8,6,1,1,1,1,1,1
15,5,0.99,0.99,0.99,0.99,0.99,0.99
0,6,1,1,1,1,1,1
22,3,0.96,0.96,0.96,0.96,0.96,0.96
0,5,1,1,1,1,1,1
8,3,0.98,0.98,0.98,0.98,0.98,0.98
29,6,0.99,0.99,0.99,0.99,0.99,0.99
15,2,0.96,0.96,0.96,0.96,0.96,0.96
22,6,0.99,0.99,0.99,0.99,0.99,0.99
22,4,0.97,0.97,0.97,0.97,0.97,0.97
8,5,1,1,1,1,1,1
15,1,0.95,0.95,0.95,0.95,0.95,0.95
29,5,0.98,0.98,0.98,0.98,0.98,0.98
15,3,0.97,0.97,0.97,0.97,0.97,0.97
15,4,0.98,0.98,0.98,0.98,0.98,0.98
29,7,1,1,1,1,1,1
29,1,0.94,0.94,0.94,0.94,0.94,0.94
8,1,0.96,0.96,0.96,0.96,0.96,0.96
29,4,0.97,0.97,0.97,0.97,0.97,0.97
8,0,0.95,0.95,0.95,0.95,0.95,0.95
0,4,1,1,1,1,1,1
22,0,0.93,0.93,0.93,0.93,0.93,0.93
1,3,0.99,0.99,0.99,0.99,0.99,0.99
0,0,1,1,1,1,1,1
1,5,1,1,1,1,1,1
29,0,0.93,0.93,0.93,0.93,0.93,0.93
22,2,0.95,0.95,0.95,0.95,0.95,0.95
8,4,0.99,0.99,0.99,0.99,0.99,0.99
1,6,1,1,1,1,1,1
29,3,0.96,0.96,0.96,0.96,0.96,0.96
15,6,1,1,1,1,1,1
15,7,1,1,1,1,1,1
29,2,0.95,0.95,0.95,0.95,0.95,0.95
1,2,0.98,0.98,0.98,0.98,0.98,0.98
8,2,0.97,0.97,0.97,0.97,0.97,0.97
