classCode,coverage,construction,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
0933,ABC,Non-Comb.,0.0000,0,0,0,0,0
0563,Building,"Joisted Masonry",0.1180,0.118,0.118,0.118,0.118,0.118
1752,ABC,"Fire Res",0.0000,0,0,0,0,0
0755,ABC,Non-Comb.,0.0000,0,0,0,0,0
0582,Contents,"Joisted Masonry",0.1500,0.15,0.15,0.15,0.15,0.15
0912,ABC,"Fire Res",0.0000,0,0,0,0,0
1650,ABC,"Fire Res",0.0000,0,0,0,0,0
0913,Contents,"Mas Non-Comb",0.1530,0.153,0.153,0.153,0.153,0.153
0844,ABC,"Joisted Masonry",0.0000,0,0,0,0,0
0831,Building,"Fire Res",0.0700,0.07,0.07,0.07,0.07,0.07
0743,Contents,"Mas Non-Comb",0.1790,0.179,0.179,0.179,0.179,0.179
0197,ABC,Frame,0.0000,0,0,0,0,0
2459,ABC,Frame,0.0000,0,0,0,0,0
0076,Building,Frame,0.1310,0.131,0.131,0.131,0.131,0.131
0079,Building,Frame,0.1200,0.12,0.12,0.12,0.12,0.12
0563,Contents,Non-Comb.,0.1340,0.134,0.134,0.134,0.134,0.134
0951,Building,"Joisted Masonry",0.3630,0.363,0.363,0.363,0.363,0.363
1000,ABC,"Joisted Masonry",0.0000,0,0,0,0,0
0566,Contents,"Fire Res",0.1470,0.147,0.147,0.147,0.147,0.147
2459,Building,Frame,0.1630,0.163,0.163,0.163,0.163,0.163
0831,ABC,Non-Comb.,0.0000,0,0,0,0,0
0321,ABC,"Mas Non-Comb",0.2020,0.202,0.202,0.202,0.202,0.202
0322,Contents,"Mas Non-Comb",0.1730,0.173,0.173,0.173,0.173,0.173
1051,Contents,Frame,0.1260,0.126,0.126,0.126,0.126,0.126
0852,Building,Non-Comb.,0.0430,0.043,0.043,0.043,0.043,0.043
1052,ABC,Non-Comb.,0.0000,0,0,0,0,0
0833,ABC,"Joisted Masonry",0.0000,0,0,0,0,0
0079,Building,"Joisted Masonry",0.1070,0.107,0.107,0.107,0.107,0.107
0079,ABC,Frame,0.0000,0,0,0,0,0
1212,Contents,Non-Comb.,0.1250,0.125,0.125,0.125,0.125,0.125
0900,ABC,"Fire Res",0.0000,0,0,0,0,0
0834,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
0701,Building,"Joisted Masonry",0.1460,0.146,0.146,0.146,0.146,0.146
0511,Building,"Mas Non-Comb",0.0790,0.079,0.079,0.079,0.079,0.079
0567,ABC,Non-Comb.,0.0000,0,0,0,0,0
0831,ABC,"Joisted Masonry",0.0000,0,0,0,0,0
0580,ABC,Frame,0.0000,0,0,0,0,0
0322,ABC,Non-Comb.,0.2300,0.23,0.23,0.23,0.23,0.23
1000,Contents,"Joisted Masonry",0.1230,0.123,0.123,0.123,0.123,0.123
4809,Contents,"Fire Res",0.0930,0.093,0.093,0.093,0.093,0.093
0757,Building,"Joisted Masonry",0.1370,0.137,0.137,0.137,0.137,0.137
1213,ABC,"Joisted Masonry",0.0000,0,0,0,0,0
2459,Contents,Frame,0.2090,0.209,0.209,0.209,0.209,0.209
0932,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
0834,Building,Frame,0.2050,0.205,0.205,0.205,0.205,0.205
1213,ABC,Frame,0.0000,0,0,0,0,0
0534,Contents,Non-Comb.,0.1650,0.165,0.165,0.165,0.165,0.165
1220,Building,"Fire Res",0.0770,0.077,0.077,0.077,0.077,0.077
0512,Building,"Fire Res",0.0690,0.069,0.069,0.069,0.069,0.069
0744,Contents,"Fire Res",0.1680,0.168,0.168,0.168,0.168,0.168
0756,Contents,"Mas Non-Comb",0.1210,0.121,0.121,0.121,0.121,0.121
0531,Contents,"Joisted Masonry",0.1670,0.167,0.167,0.167,0.167,0.167
0834,Contents,Non-Comb.,0.1780,0.178,0.178,0.178,0.178,0.178
0567,Contents,Frame,0.1770,0.177,0.177,0.177,0.177,0.177
1230,Contents,Non-Comb.,0.1270,0.127,0.127,0.127,0.127,0.127
0580,Building,"Joisted Masonry",0.1090,0.109,0.109,0.109,0.109,0.109
0531,ABC,Frame,0.0000,0,0,0,0,0
0321,Building,"Mas Non-Comb",0.1000,0.1,0.1,0.1,0.1,0.1
0951,ABC,Non-Comb.,0.0000,0,0,0,0,0
0846,ABC,"Fire Res",0.0000,0,0,0,0,0
0570,Building,"Fire Res",0.0730,0.073,0.073,0.073,0.073,0.073
1400,ABC,Non-Comb.,0.0520,0.052,0.052,0.052,0.052,0.052
0702,Building,"Joisted Masonry",0.0880,0.088,0.088,0.088,0.088,0.088
1000,Building,"Joisted Masonry",0.1400,0.14,0.14,0.14,0.14,0.14
0923,Building,Non-Comb.,0.0620,0.062,0.062,0.062,0.062,0.062
0550,Contents,Non-Comb.,0.1630,0.163,0.163,0.163,0.163,0.163
0701,Contents,Non-Comb.,0.1510,0.151,0.151,0.151,0.151,0.151
0570,Building,Non-Comb.,0.0980,0.098,0.098,0.098,0.098,0.098
0077,Building,"Joisted Masonry",0.1070,0.107,0.107,0.107,0.107,0.107
0512,ABC,"Joisted Masonry",0.0000,0,0,0,0,0
0742,Contents,"Mas Non-Comb",0.1790,0.179,0.179,0.179,0.179,0.179
2200,Contents,Frame,0.4640,0.464,0.464,0.464,0.464,0.464
1052,Contents,"Mas Non-Comb",0.0890,0.089,0.089,0.089,0.089,0.089
0702,ABC,Non-Comb.,0.1230,0.123,0.123,0.123,0.123,0.123
0833,Contents,"Joisted Masonry",0.1340,0.134,0.134,0.134,0.134,0.134
0900,Contents,Frame,0.0870,0.087,0.087,0.087,0.087,0.087
0912,Contents,Non-Comb.,0.2780,0.278,0.278,0.278,0.278,0.278
0341,Building,Non-Comb.,0.0700,0.07,0.07,0.07,0.07,0.07
0565,Building,Frame,0.1210,0.121,0.121,0.121,0.121,0.121
0342,ABC,"Fire Res",0.0820,0.082,0.082,0.082,0.082,0.082
1150,Contents,"Mas Non-Comb",0.0000,0,0,0,0,0
0331,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
0564,Building,Non-Comb.,0.1440,0.144,0.144,0.144,0.144,0.144
0852,Contents,Frame,0.0600,0.06,0.06,0.06,0.06,0.06
0531,Building,"Fire Res",0.0730,0.073,0.073,0.073,0.073,0.073
0913,ABC,"Fire Res",0.0000,0,0,0,0,0
0570,Building,"Mas Non-Comb",0.0790,0.079,0.079,0.079,0.079,0.079
0756,Building,"Mas Non-Comb",0.0910,0.091,0.091,0.091,0.091,0.091
0561,Contents,Frame,0.1920,0.192,0.192,0.192,0.192,0.192
1150,Contents,Non-Comb.,0.0000,0,0,0,0,0
0198,Contents,Non-Comb.,0.0750,0.075,0.075,0.075,0.075,0.075
2459,Building,"Joisted Masonry",0.1460,0.146,0.146,0.146,0.146,0.146
1220,Contents,Non-Comb.,0.1320,0.132,0.132,0.132,0.132,0.132
0076,ABC,"Joisted Masonry",0.0000,0,0,0,0,0
0701,Building,Non-Comb.,0.1290,0.129,0.129,0.129,0.129,0.129
1211,Contents,Non-Comb.,0.1530,0.153,0.153,0.153,0.153,0.153
0311,ABC,"Fire Res",0.0000,0,0,0,0,0
1213,Contents,Frame,0.1420,0.142,0.142,0.142,0.142,0.142
0833,Contents,"Fire Res",0.1040,0.104,0.104,0.104,0.104,0.104
0852,ABC,"Joisted Masonry",0.0000,0,0,0,0,0
0933,Building,"Mas Non-Comb",0.0570,0.057,0.057,0.057,0.057,0.057
0921,Building,"Fire Res",0.0630,0.063,0.063,0.063,0.063,0.063
0567,Building,Non-Comb.,0.0980,0.098,0.098,0.098,0.098,0.098
0520,Contents,"Mas Non-Comb",0.1720,0.172,0.172,0.172,0.172,0.172
0843,Building,Frame,0.1040,0.104,0.104,0.104,0.104,0.104
0757,Contents,"Joisted Masonry",0.1450,0.145,0.145,0.145,0.145,0.145
0757,Building,"Fire Res",0.0910,0.091,0.091,0.091,0.091,0.091
0343,Building,"Mas Non-Comb",0.0570,0.057,0.057,0.057,0.057,0.057
0900,Building,"Fire Res",0.0500,0.05,0.05,0.05,0.05,0.05
1212,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
0831,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
0512,ABC,Frame,0.0000,0,0,0,0,0
0747,Contents,Non-Comb.,0.0880,0.088,0.088,0.088,0.088,0.088
0743,Contents,"Fire Res",0.1680,0.168,0.168,0.168,0.168,0.168
0567,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
0755,Building,Frame,0.3460,0.346,0.346,0.346,0.346,0.346
0923,ABC,Frame,0.0000,0,0,0,0,0
0520,Contents,"Joisted Masonry",0.2070,0.207,0.207,0.207,0.207,0.207
1700,Contents,Non-Comb.,0.2070,0.207,0.207,0.207,0.207,0.207
0311,ABC,Frame,0.0000,0,0,0,0,0
0852,Building,"Mas Non-Comb",0.0340,0.034,0.034,0.034,0.034,0.034
3409,ABC,Non-Comb.,0.0000,0,0,0,0,0
1751,Contents,"Joisted Masonry",0.1210,0.121,0.121,0.121,0.121,0.121
0701,Contents,"Fire Res",0.1240,0.124,0.124,0.124,0.124,0.124
0912,Contents,"Fire Res",0.2270,0.227,0.227,0.227,0.227,0.227
2200,Contents,"Mas Non-Comb",0.3460,0.346,0.346,0.346,0.346,0.346
0743,Building,"Joisted Masonry",0.1960,0.196,0.196,0.196,0.196,0.196
2800,Contents,Frame,0.2580,0.258,0.258,0.258,0.258,0.258
0078,Building,Frame,0.1200,0.12,0.12,0.12,0.12,0.12
