state,territory,concat,grade,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
OR,All,ORAll,3,0.94,0.94,1,1,0.94,0.94
OR,All,ORAll,1,0.94,0.94,1,1,0.94,0.94
KS,All,KSAll,4,0.97,0.97,1,1,0.97,0.97
WA,All,WAAll,9,0.99,0.99,1,1,0.99,0.99
MS,All,MSAll,5,0.97,0.97,1,1,0.97,0.97
KY,All,KYAll,7,0.97,0.97,1,1,0.97,0.97
NM,All,NMAll,9,0.99,0.99,1,1,0.99,0.99
NV,All,NVAll,5,0.97,0.97,1,1,0.97,0.97
WI,All,WIAll,8,0.99,0.99,1,1,0.99,0.99
MI,All,MIAll,10,1,1,1,1,1,1
MD,All,MDAll,3,0.94,0.94,1,1,0.94,0.94
WI,All,WIAll,1,0.94,0.94,1,1,0.94,0.94
MS,All,MSAll,7,0.97,0.97,1,1,0.97,0.97
DE,All,DEAll,8,0.99,0.99,1,1,0.99,0.99
MN,All,MNAll,5,0.97,0.97,1,1,0.97,0.97
MI,All,MIAll,6,0.97,0.97,1,1,0.97,0.97
MD,All,MDAll,5,0.97,0.97,1,1,0.97,0.97
NV,All,NVAll,1,0.94,0.94,1,1,0.94,0.94
AZ,All,AZAll,6,0.97,0.97,1,1,0.97,0.97
SC,All,SCAll,5,0.97,0.97,1,1,0.97,0.97
IN,All,INAll,9,0.99,0.99,1,1,0.99,0.99
AK,All,AKAll,2,0.94,0.94,1,1,0.94,0.94
WA,All,WAAll,1,0.94,0.94,1,1,0.94,0.94
CA,All,CAAll,8,0.99,0.99,1,1,0.99,0.99
IN,All,INAll,10,1,1,1,1,1,1
NJ,All,NJAll,4,0.97,0.97,1,1,0.97,0.97
AL,All,ALAll,9,0.99,0.99,1,1,0.99,0.99
NC,All,NCAll,Ungraded,1,1,1,1,1,1
AL,All,ALAll,1,0.94,0.94,1,1,0.94,0.94
OH,All,OHAll,5,0.97,0.97,1,1,0.97,0.97
PA,All,PAAll,6,0.97,0.97,1,1,0.97,0.97
KS,All,KSAll,6,0.97,0.97,1,1,0.97,0.97
AL,All,ALAll,7,0.97,0.97,1,1,0.97,0.97
NM,All,NMAll,8,0.99,0.99,1,1,0.99,0.99
IN,All,INAll,Ungraded,1,1,1,1,1,1
TX,All,TXAll,2,0.94,0.94,1,1,0.94,0.94
TN,All,TNAll,3,0.94,0.94,1,1,0.94,0.94
MN,All,MNAll,9,0.99,0.99,1,1,0.99,0.99
TX,All,TXAll,3,0.94,0.94,1,1,0.94,0.94
GA,All,GAAll,1,0.94,0.94,1,1,0.94,0.94
NC,All,NCAll,9,0.99,0.99,1,1,0.99,0.99
MN,All,MNAll,8,0.99,0.99,1,1,0.99,0.99
MD,All,MDAll,9,0.99,0.99,1,1,0.99,0.99
AK,All,AKAll,6,0.97,0.97,1,1,0.97,0.97
TN,All,TNAll,6,0.97,0.97,1,1,0.97,0.97
DE,All,DEAll,5,0.97,0.97,1,1,0.97,0.97
MI,All,MIAll,2,0.94,0.94,1,1,0.94,0.94
WV,All,WVAll,10,1,1,1,1,1,1
NM,All,NMAll,2,0.94,0.94,1,1,0.94,0.94
NY,All,NYAll,7,0.97,0.97,1,1,0.97,0.97
OR,All,ORAll,9,0.99,0.99,1,1,0.99,0.99
NE,All,NEAll,1,0.94,0.94,1,1,0.94,0.94
OK,All,OKAll,7,0.97,0.97,1,1,0.97,0.97
WY,All,WYAll,8,0.99,0.99,1,1,0.99,0.99
DC,All,DCAll,3,0.94,0.94,1,1,0.94,0.94
IL,All,ILAll,4,0.97,0.97,1,1,0.97,0.97
ID,All,IDAll,4,0.97,0.97,1,1,0.97,0.97
NJ,All,NJAll,2,0.94,0.94,1,1,0.94,0.94
IL,All,ILAll,9,0.99,0.99,1,1,0.99,0.99
DC,All,DCAll,2,0.94,0.94,1,1,0.94,0.94
MA,All,MAAll,4,0.97,0.97,1,1,0.97,0.97
NH,All,NHAll,7,0.97,0.97,1,1,0.97,0.97
MD,All,MDAll,Ungraded,1,1,1,1,1,1
ND,All,NDAll,4,0.97,0.97,1,1,0.97,0.97
LA,All,LAAll,4,0.97,0.97,1,1,0.97,0.97
OK,All,OKAll,9,0.99,0.99,1,1,0.99,0.99
WA,All,WAAll,7,0.97,0.97,1,1,0.97,0.97
SD,All,SDAll,10,1,1,1,1,1,1
NM,All,NMAll,6,0.97,0.97,1,1,0.97,0.97
WA,All,WAAll,5,0.97,0.97,1,1,0.97,0.97
NM,All,NMAll,1,0.94,0.94,1,1,0.94,0.94
NM,All,NMAll,Ungraded,1,1,1,1,1,1
FL,All,FLAll,9,0.99,0.99,1,1,0.99,0.99
ME,All,MEAll,5,0.97,0.97,1,1,0.97,0.97
ID,All,IDAll,10,1,1,1,1,1,1
RI,All,RIAll,5,0.97,0.97,1,1,0.97,0.97
PA,All,PAAll,10,1,1,1,1,1,1
NE,All,NEAll,Ungraded,1,1,1,1,1,1
HI,All,HIAll,1,0.94,0.94,1,1,0.94,0.94
CT,All,CTAll,7,0.97,0.97,1,1,0.97,0.97
RI,All,RIAll,7,0.97,0.97,1,1,0.97,0.97
OH,All,OHAll,4,0.97,0.97,1,1,0.97,0.97
SC,All,SCAll,10,1,1,1,1,1,1
WI,All,WIAll,6,0.97,0.97,1,1,0.97,0.97
NM,All,NMAll,4,0.97,0.97,1,1,0.97,0.97
SC,All,SCAll,7,0.97,0.97,1,1,0.97,0.97
WA,All,WAAll,3,0.94,0.94,1,1,0.94,0.94
CT,All,CTAll,8,0.99,0.99,1,1,0.99,0.99
RI,All,RIAll,1,0.94,0.94,1,1,0.94,0.94
IL,All,ILAll,Ungraded,1,1,1,1,1,1
AK,All,AKAll,3,0.94,0.94,1,1,0.94,0.94
TN,All,TNAll,8,0.99,0.99,1,1,0.99,0.99
CA,All,CAAll,10,1,1,1,1,1,1
GA,All,GAAll,2,0.94,0.94,1,1,0.94,0.94
ND,All,NDAll,6,0.97,0.97,1,1,0.97,0.97
RI,All,RIAll,4,0.97,0.97,1,1,0.97,0.97
TX,All,TXAll,4,0.97,0.97,1,1,0.97,0.97
NC,All,NCAll,2,0.94,0.94,1,1,0.94,0.94
NV,All,NVAll,9,0.99,0.99,1,1,0.99,0.99
MA,All,MAAll,8,0.99,0.99,1,1,0.99,0.99
MN,All,MNAll,2,0.94,0.94,1,1,0.94,0.94
NH,All,NHAll,10,1,1,1,1,1,1
IA,All,IAAll,8,0.99,0.99,1,1,0.99,0.99
VT,All,VTAll,7,0.97,0.97,1,1,0.97,0.97
MD,All,MDAll,7,0.97,0.97,1,1,0.97,0.97
GA,All,GAAll,4,0.97,0.97,1,1,0.97,0.97
MS,All,MSAll,3,0.94,0.94,1,1,0.94,0.94
NV,All,NVAll,3,0.94,0.94,1,1,0.94,0.94
TN,All,TNAll,9,0.99,0.99,1,1,0.99,0.99
WV,All,WVAll,3,0.94,0.94,1,1,0.94,0.94
AL,All,ALAll,10,1,1,1,1,1,1
VA,All,VAAll,5,0.97,0.97,1,1,0.97,0.97
MI,All,MIAll,3,0.94,0.94,1,1,0.94,0.94
MT,All,MTAll,9,0.99,0.99,1,1,0.99,0.99
CT,All,CTAll,2,0.94,0.94,1,1,0.94,0.94
NJ,All,NJAll,5,0.97,0.97,1,1,0.97,0.97
ME,All,MEAll,9,0.99,0.99,1,1,0.99,0.99
SC,All,SCAll,3,0.94,0.94,1,1,0.94,0.94
CT,All,CTAll,4,0.97,0.97,1,1,0.97,0.97
DE,All,DEAll,1,0.94,0.94,1,1,0.94,0.94
CT,All,CTAll,10,1,1,1,1,1,1
AL,All,ALAll,3,0.94,0.94,1,1,0.94,0.94
TX,All,TXAll,8,0.99,0.99,1,1,0.99,0.99
IN,All,INAll,1,0.94,0.94,1,1,0.94,0.94
WA,All,WAAll,4,0.97,0.97,1,1,0.97,0.97
RI,All,RIAll,2,0.94,0.94,1,1,0.94,0.94
IA,All,IAAll,Ungraded,1,1,1,1,1,1
CO,All,COAll,4,0.97,0.97,1,1,0.97,0.97
