classCode,ratePremOps,rateProdCops,hrPremOp,hrProdCOps,code,premiumBase
66122,13.1,0,0,0,a,1000
54444,1.0,1.0,0,0,s,1000
97652,6.06,5.39,0,0,p,1000
49763,2.75,0,0,0,s,1000
18911,1.39,0.02,0,0,s,1000
99003,1.71,1.27,0,0,p,1000
11202,4.06,0,0,0,s,1000
58458,0.071,0,0,0,s,1000
57800,0.102,0.45,–,3/A,s,1000
63216,34.6,0,0,0,a,1000
99163,4.2,0.43,0,0,p,1000
67635,27.6,0,0,0,a,1000
58058,0.091,0.35,–,2/B,s,1000
13207,0.146,0.28,1/A,1/A,t,1
56807,0.088,1.16,–,3/A,s,1000
18200,3.32,1.0,1/B,–,s,1000
98698,1.0,1.0,0,0,p,1000
11120,10.3,1.0,4/A,–,s,1000
52134,0.239,0.44,0,0,s,1000
51221,0.173,1.12,0,0,s,1000
60016,39.4,0,0,0,u,1
55919,0.015,2.48,0,0,s,1000
58503,0.071,0.054,0,0,s,1000
92338,1.8,2.26,0,0,p,1000
58837,0.34,0.128,0,0,s,1000
99310,3.53,41.1,–,4/B,p,1000
56652,0.199,0.84,–,2/B,s,1000
99988,2.72,0,0,0,p,1000
99917,2.87,0,0,0,p,1000
97653,3.15,3.48,0,0,p,1000
52433,0.082,0.47,0,0,s,1000
44311,19.5,0,0,0,s,1000
56759,0.066,0.069,0,0,s,1000
13455,0.74,0.181,–,5/A,t,1
51552,0.055,0.113,0,0,s,1000
57810,0.045,0.089,0,0,s,1000
16905,4.13,0.086,0,0,s,1000
53229,0.177,1.0,–,0,s,1000
10110,63.5,0,0,0,s,1000
99803,1.0,9.46,0,–,p,1000
98428,1.0,1.0,0,–,p,1000
41510,69.7,0,0,0,m,1000
15993,0.29,0.049,0,0,s,1000
46005,21,0,0,0,a,1000
18078,0.182,0.154,0,0,s,1000
51790,0.127,1.04,–,4/A,s,1000
57725,0.117,0.07,0,0,s,1000
91405,5.55,0,0,0,p,1000
50017,0.096,0.82,–,3/A,s,1000
11209,6.47,0,0,0,s,1000
41001,0.7,0,0,0,t,1
18110,0.46,0.035,0,0,s,1000
13590,0.55,0.59,0,0,s,1000
59975,0.141,0.099,0,0,s,1000
45450,32.6,0,0,0,t,1
10257,0.191,0.148,0,0,s,1000
91666,0.93,1.0,–,0,p,1000
98155,6.11,1.0,–,0,p,1000
51516,0.071,0,0,0,s,1000
51500,0.073,0.118,0,0,s,1000
50012,0.071,1.0,–,0,s,1000
49903,1.0,1.0,0,–,,
43629,332,0,0,0,t,1
58756,0.069,0.199,–,3/A,s,1000
43007,1.0,1.0,0,–,t,1
53901,1.0,1.0,0,0,s,1000
98884,2.29,2.43,0,0,p,1000
16892,0.31,0.36,–,4/A,s,1000
43117,1.0,1.0,0,–,s,1000
95124,1.49,1.38,0,0,p,1000
10133,3.27,0,0,0,s,1000
91175,0.9,0,0,0,p,1000
11101,0.208,0.59,2/A,1/B,s,1000
40045,581,0,0,0,t,1
58559,0.019,1.0,–,0,s,1000
15062,0.219,0.32,–,1/A,s,1000
91641,1.33,1.0,–,0,p,1000
91547,0.242,0,0,0,p,1000
16819,1.32,0.15,–,5/A,s,1000
92663,0.67,0,0,0,p,1000
96703,13.8,1.0,3/A,–,p,1000
98309,6.16,2.29,0,0,p,1000
10205,0.37,0,0,0,s,1000
44113,1.04,1.0,2/A,–,o,1000
10020,6.52,1.0,2/B,0,s,1000
51986,0.193,0.075,0,0,s,1000
40010,1.0,1.0,0,–,t,1
99220,1.7,1.0,–,0,p,1000
91200,0.82,0,0,0,p,1000
60012,54.7,0,0,0,u,1
57257,0.105,0.046,0,0,s,1000
44435,47.2,0,0,0,a,1000
46913,1.0,1.0,0,–,s,1000
91266,9.28,1.01,0,0,p,1000
99798,17.1,1.0,2/A,0,p,1000
59927,0.244,0.88,0,0,s,1000
91130,1.44,0,0,0,p,1000
55597,0.024,1.22,0,0,s,1000
46916,1.0,1.0,0,–,m,1000
10379,11.9,0,0,0,s,1000
11274,19.8,0,0,0,s,1000
43517,1.0,1.0,0,–,t,1
98914,0.77,0.58,0,0,p,1000
40042,1.0,1.0,0,–,s,1000
51941,0.084,0.025,0,0,s,1000
91125,2.61,2.02,0,0,p,1000
95620,1.94,1.0,–,0,p,1000
14101,0.68,0.048,0,0,s,1000
51315,0.138,0.059,0,0,s,1000
52911,0.051,0.35,0,0,s,1000
47318,24.5,0,0,0,s,1000
16906,2.64,0.123,0,0,s,1000
11204,0.46,1.52,0,0,s,1000
94381,5.85,11.4,0,0,p,1000
49333,23.9,0,0,0,t,1
59889,0.065,0.176,0,0,s,1000
53425,0.164,0.32,–,1/A,s,1000
56912,0.117,0.082,0,0,s,1000
98806,2.79,4,0,0,p,1000
14733,0.92,0,0,0,s,1000
91805,0.21,0,0,0,p,1000
58713,0.049,0.51,–,4/A,s,1000
11258,1.81,0.221,0,0,s,1000
98482,3.82,7.13,0,0,p,1000
99111,1.76,0,0,0,p,1000
11007,1.57,0,0,0,s,1000
94617,4.02,0,0,0,p,1000
52967,0.019,0.043,0,0,s,1000
59886,0.02,0.072,0,0,s,1000
44109,1.9,0,0,0,o,1000
10332,43.6,0,0,0,s,1000
52469,0.038,0.083,0,0,s,1000
68500,6.37,0,0,0,u,1
16722,1.4,1.0,1/B,–,s,1000
56758,0.065,0.11,0,0,s,1000
16901,2.52,0.135,0,0,s,1000
99620,0.49,0,0,0,p,1000
40040,1.89,1.0,1/A,–,s,1000
56041,0.068,0.61,–,5/A,s,1000
59905,0.091,0.1,0,0,s,1000
59751,0.032,1.0,–,0,s,1000
43754,118,1.0,3/A,–,t,1
51734,0.111,0.38,0,0,s,1000
96872,5.28,1.0,–,0,p,1000
51956,0.36,0.119,0,0,s,1000
95357,1.44,0,0,0,p,1000
51702,0.143,1.39,–,3/A,s,1000
12014,0.114,0.043,0,0,s,1000
97047,3.32,0,0,0,p,1000
59973,0.147,0.35,–,5/A,s,1000
91583,0.66,1.33,3/D,3/D,c,1000
91606,14.1,0,0,0,p,1000
41667,241,0,0,0,a,1000
98699,5.08,1.0,–,0,p,1000
58409,0.071,0,0,0,s,1000
51999,0.081,0.25,0,0,s,1000
57600,0.05,0.025,0,0,s,1000
41678,55.9,0,0,0,a,1000
10042,0.55,0.37,0,0,s,1000
51551,0.031,0.7,0,0,s,1000
51330,0.092,0.97,0,0,s,1000
12361,0.114,0.063,0,0,s,1000
40115,85.5,1.0,1/A,–,t,1
19061,1.21,1.0,4/A,–,s,1000
58813,0.17,0.3,–,3/A,s,1000
58627,0.187,0.008,0,0,s,1000
59661,0.106,2.06,–,3/A,s,1000
12393,0.59,0.182,–,2/A,s,1000
55214,0.097,0.062,0,0,s,1000
40075,101,0,0,0,m,1000
95233,3.18,0,0,0,p,1000
98306,6.86,1.02,0,0,p,1000
61223,85.7,0,0,0,a,1000
63215,49.9,0,0,0,a,1000
51305,0.105,0.65,0,0,s,1000
58456,0.038,0,0,0,s,1000
48252,1.0,1.0,0,–,s,1000
16676,0.44,0.015,0,0,s,1000
10151,18.4,0,0,0,s,1000
51380,0.039,0.026,0,0,s,1000
59926,0.36,0.57,0,0,s,1000
57403,0.156,0.025,0,0,s,1000
10256,1.01,0.154,0,0,s,1000
56042,0.086,0.8,–,3/A,s,1000
59988,0.036,0.041,0,0,s,1000
51850,0.223,0.74,–,1/A,s,1000
65007,30.4,0,0,0,a,1000
97220,0.39,1.01,–,1/A,p,1000
48441,0.34,0,0,0,t,1
16916,2.01,0.071,0,0,s,1000
59798,0.29,0.29,0,0,s,1000
59058,0.33,0.46,–,3/A,s,1000
16404,1.67,0,0,0,s,1000
58560,0.045,1.0,–,0,s,1000
16527,0.173,0.222,0,0,s,1000
99315,10.3,2.26,0,0,p,1000
55649,0.026,0.159,–,1/A,s,1000
10070,0.092,0.094,0,0,s,1000
59985,0.158,0.34,–,3/A,s,1000
