code,premOps,prodCOpsFactor
47473,2,1
92215,3,3
13455,3,3
99080,3,3
59925,1,2
99165,2,2
53903,3,3
91127,2,2
91585,3,3
53565,1,2
51352,1,2
44438,4,1
63011,2,1
98678,2,2
91586,3,3
12373,3,4
95648,2,2
51855,3,3
91580,4,1
44106,3,1
44101,3,1
51350,1,2
53951,3,3
44431,4,1
43151,3,1
60013,3,1
44104,3,1
52343,3,4
51857,3,3
98806,2,2
91589,3,3
99600,4,1
53901,3,3
44429,4,1
44434,4,1
13453,3,3
44427,4,1
66561,4,1
40102,4,1
98425,3,3
59963,1,2
51359,1,2
51752,1,2
44436,4,1
92446,4,4
61212,2,1
99613,4,4
58840,1,2
94381,2,2
59927,1,2
59926,1,2
99570,2,2
51357,1,2
91210,4,1
99571,2,2
92451,4,4
67635,3,1
99445,3,3
97654,2,2
13412,4,3
91584,3,3
60011,2,1
91551,4,4
51854,3,3
91581,3,3
97653,2,2
91250,2,2
57913,1,2
91436,2,2
97222,2,2
44110,3,1
52342,3,4
56759,1,2
13411,4,3
60016,3,1
51305,1,2
13206,4,3
99315,4,4
53377,1,2
98428,4,4
99946,3,3
45192,3,1
99507,3,1
99798,3,3
92453,4,1
97650,2,2
91588,3,3
44430,4,1
13207,4,3
59537,1,2
51852,3,3
64500,3,1
53952,3,3
59964,1,2
98426,3,3
99506,3,1
98424,3,3
13205,4,3
44105,3,1
91324,3,3
92338,2,2
43152,3,1
99572,2,2
40031,4,1
92101,3,3
98429,4,1
96702,2,2
95124,2,2
91582,3,3
91618,2,2
47478,2,1
44112,3,1
97047,4,1
44100,3,1
61216,2,1
13204,4,3
57651,1,2
97050,3,1
99084,2,2
47476,2,1
45191,3,1
51351,1,2
13410,4,3
45190,3,1
57002,1,2
56758,1,2
92447,4,4
98151,4,1
91340,2,2
98430,4,1
92478,4,4
53375,1,2
99163,2,2
92102,3,3
53905,3,3
92445,4,1
41675,3,1
91342,2,2
40101,4,1
98161,4,1
91560,2,2
96408,2,2
44428,4,1
53907,4,3
97652,2,2
91155,2,2
51853,3,3
98677,2,2
98967,2,2
53376,1,2
98502,2,2
96410,2,2
95647,2,2
95310,3,3
63010,2,1
47477,2,1
60015,3,1
98414,3,3
45193,3,1
47471,2,1
99650,2,2
44111,3,1
91315,3,1
44432,4,1
91325,3,3
44103,3,1
97655,2,2
97223,2,2
94007,4,4
97651,2,2
44440,4,1
99943,4,1
56488,1,2
67509,2,1
91302,3,3
53077,3,3
99803,3,3
51356,1,2
47475,2,1
67510,3,1
91555,4,4
51850,3,3
99085,2,2
97447,2,2
91577,3,3
57001,1,2
44109,3,1
94276,3,3
92593,2,1
40032,4,1
40026,4,1
63012,2,1
40010,4,1
67512,2,1
91587,3,3
95625,2,2
91641,2,2
91583,3,3
44439,4,1
53374,1,2
98482,3,3
44102,3,1
91111,2,2
51315,1,2
98820,3,3
91341,2,2
63013,2,1
64074,3,1
13454,3,3
59905,1,2
67513,2,1
98413,3,3
47474,2,1
51851,3,3
51856,3,3
67511,3,1
51300,1,2
53001,1,2
99321,3,3
95305,4,1
98623,4,1
44113,3,1
51355,1,2
98152,4,1
56760,1,2
98111,2,1
62003,3,1
95410,3,3
98427,4,4
60010,3,1
98423,3,3
53904,3,3
98993,2,2
95306,4,1
67508,2,1
61218,2,1
53902,3,3
11101,3,3
44437,4,1
67634,3,1
61000,2,1
98483,3,3
44435,4,1
64075,3,1
98636,2,2
61217,2,1
52002,1,2
98415,3,3
99777,4,1
91591,3,3
95630,2,2
97221,2,2
55371,1,2
98601,3,3
96409,2,2
52341,3,4
15733,4,3
98150,4,1
51358,1,2
44433,4,1
60012,3,1
59904,1,2
91150,2,2
99573,2,2
98622,4,1
59647,1,2
44108,3,1
