highestSquareFootTenant,fireRisk
"Janitorial Supplies - dealers or distributors",Low
"Jewelry Stores or Distributors",Medium
"Camper or Travel Trailers w/o motors & Motor Homes - Sales only",Low
"Cotton or Wool Merchants - cotton cloth",Low
"Stores:  Computer, Electronics, Paint, Wallpaper or Wallcoverings, Painting, Picture or Framing, Pet, Video, Wigs or Hairpieces",Medium
"Boat Dealers - sales &/or storage with/without repair",Low
Kennels,Medium
"Restaurant - no cooking",Low
"Eqmt, Fixtures & Supplies for bars, hotels, offices, restaurants or stores - distributors - w/o furniture",Medium
"1 Family Dwellings (Lessor's Risk)",Low
"Produce - Storage >15,000 sq ft",Low
Drugstores,High
"Appliance Stores - other than radios, TVs, CD and DVD players = with or w/o repair - household type",High
"Pawn Shops",High
"Nursery - garden - sales outlet",Low
"Gas Dealers or Distrib - hardware sales and storage",High
"Mail Order Houses",Low
"Floor Covering Distributors (if linoleum, vinyl or plastic)",
Hatcheries,Low
"Tire Dealers - sales or storage",High
"Electrical Apparatus - installation, service, repair with sales and storage",Medium
"Drug Distributors",High
"Museums - commercial",Medium
"Mattress or Box Spring - sales outlets",Low
"Interior Decorators",Low
"Appliance Distributors - other than radios, TVs, CD and DVD players with or w/o repair - household type",High
"Beverage Stores - beer is principal stock",High
"Dealers & Distrib - sales or storage",Medium
"Warehouses - Public - mini-warehousing of personal property",Medium
"Concrete Construction - contractors storage facilities - other than electrical, plumbing, heating, AC, or sheet metal storage",Medium
"Cannabis - Distributors - wholesale or warehouse stock of cultivated products",High
"Auto Parking Garages, Car Washes",Medium
"Vending Machines - sales with or w/o storage",High
"Automobile Distributors - showrooms with no repair or service",Medium
"Cannabis - retail stores - cannabis-containing products distributors NOC",High
"Gemstone Cutting or Polishing",Low
"Rubber - sales &/or storage - other rubber products",High
"Clubs - horseback riding (with or w/o cmcl riding instr & hiring of horses)",Low
"Office Machines or Appliances - retail or wholesale, no repair",Low
"Carpet, Rug, Furniture or Upholstery cleaning - storage of cleaning eqmt & supplies",Medium
"Mercantile NOC - Sole occupant - risks having high susceptibility personal property - Not large area (15,000 sq ft or less)",High
"Bone, Horn & Ivory Products - sales &/or storage",Low
"Fertilizer Dealers & Distributors",High
"Automobile Parts/Supplies Distributors or Stores",Medium
"Barber or Beauty Shop Supply Distributors:Beach Chairs & Umbrellas - warehouses, storage or sales",Low
"Carpet or Rug sales",Medium
"Optical Goods - distributors or stores - if 5 or fewer employees involved in grinding/polishing",Low
"Roofing - contractors storage or sales outlet",Medium
"Model Homes - used as office",Low
"Formal Wear or Costumes - rental agencies",Low
"Cannabis - retail sales, cannabis-containing products distributor, not otherwise classified",High
"Laundry & Dry Cleaning or Dyeing Receiving Stations - no pressing",Medium
"Shoe Stores - no repair",Medium
"Contractors Storage for:  Crop Sprayers (chemical), Fiber Mfg (storage off premises) for Acetate, Rayon, Dacron, Acrilan, Dynel, Fiberglass, Nylon, Orion, Saran, & similar synthetics, Plush, Satin or Silk, Velours, Velveteens, Velvets & Woolens, Cotton, Felt, Linen, & Celanese, Fumigating, Painters, Pest Control Servicers (chemicals), Tree Pruning, Dusting, Spraying, Repairing, Trimming or Fumigating, Sign Painting or Lettering (paint storage)",Medium
"Paper Products Distrib - paper decorations, papier-mache, sensitized paper, wall paper, waxed paper",High
"Electrical Equipment Distrib - sales or storage with or w/o repair or service",Medium
"Mercantile - Multiple occupancy with class 0564 not large area (15,000 sq ft or less) - Class rate",Medium
"Food Products - sales, storage, distributors - limited cooking (other than bakeries)",Medium
"Clothing or Wearing Apparel - distributors",Medium
"Window Decorating - sales &/or storage",Medium
"Secondhand Goods Dealers & Distrib - sales or storage",Medium
"Door, Window or assembled millwork - installation - metal or wood",Medium
"Drug Distributors, Drugstores, Mail Order or Online Drugstores",High
"Oil or Gas Well Supplies or Eqmt Dealers",High
"Tailor Merchants; Tailoring or Dressmaking Establishments - custom - 10 or fewer employees engaged in custom alterations to wearing apparel after sale to customer",Low
"Gasoline Distributors",High
"Warehouses - cold individual storage lockers > 15,000 sq feet",Medium
"Mercantile - NOC - Sole occupant -  Not large area (15,000 sq ft or less)",Medium
"Hay or Straw - sales &/or Storage including hay/straw products",High
"Boat Storage & Moorage - in buildings",Low
"Livestock Dealers or Commission Merchants",Medium
"Mercantile - Sole occupant - Food Products - Large area (over 15, 000 sq ft) - Not class rated",High
"Book Distributors",Low
"Electrical & Lighting Stores",Medium
"Fur Distributors - garments or pelts",Medium
"Mercantile - Multiple occupancy - not large area (15,000 sq ft or less) - not class rated",Medium
"Elevator or Escalator Eqmt sales or storage with or w/o repair",Low
"Beverage Stores - alcoholic beverages other than beer",High
"Restaurant - with limited cooking",Medium
"Beverage Distributors - alcoholic beverages including beer; or beer primarily",High
"Restaurant - with cooking",High
"Barber or Beauty Shop Supply Distributors,]",Low
"Hearing Aid Distributors or Stores",Low
