state,territory,structureFactor,contentFactor
AL,"City of Mobile - Seacoast",6.132,6.132
NY,"NYC - Terr 1",1.000,1.000
RI,"BoS - Terr II",2.103,2.103
MD,"BoS - Seacoast",1.750,1.750
CA,"Balance of State / District I",1.000,1.000
NC,Charlotte,1.000,1.000
PA,"Zone 3",1.000,1.000
DE,"Entire State - Med Wind Hazard",1.000,1.000
MD,"Baltimore CO excluding baltimore - Inland",1.000,1.000
OK,Tulsa,1.000,1.000
MT,"Counties of Beaverhead, Broadwater, Deer Lodge, Flathead, Gallatin, Granite, Jefferson, Lake, Lewis and Clark, Lincoln, Madison, Mineral, Missoula, Powell, Ravalli, Sanders and Silver Bow.",1.000,1.000
MD,"BoS - Inland",1.000,1.000
NE,"Balance of State / East",1.000,1.000
AK,"Entire State District 2",1.000,1.000
IL,"Chicago - Cook County",1.000,1.000
MD,"Anne Arundel CO - Inland",1.000,1.000
IL,"Balance of State - Cook County",1.000,1.000
MA,"Remainder of State (Terr II)",1.373,1.373
CA,"City of Sacramento / District II",1.000,1.000
MD,"Montgomery CO - Inland",1.000,1.000
VA,"City of Richmond / Wind Hazard Med",1.000,1.000
MO,"Saint Louis",1.000,1.000
NV,"Entire State",1.000,1.000
OK,"Balance of State",1.000,1.000
OK,"Oklahoma City",1.000,1.000
NH,"Balance of State",1.000,1.000
DE,"Entire State - High Wind Hazard",2.425,2.425
KY,Louisville,1.000,1.000
AR,"Entire State",1.000,1.000
AL,"Balance of State - Seacoast",6.132,6.132
OH,Toledo,1.000,1.000
ME,"BoS - Terr II",1.843,1.843
WY,"Entire State (Eastern)",1.000,1.000
MS,0,0.264,1.386
OR,Portland,1.000,1.000
VA,"Balance of State / Wind Hazard Med",1.000,1.000
GA,"Dekalb County",1.000,1.000
TX,"Houston (Seacoast 2)",2.693,2.693
VA,"Virginia Beach / Wind Hazard Severe",2.727,2.727
MD,"BoS - Beach",3.667,3.667
NM,"Rest of State - Western",1.000,1.000
OR,"Balance of State",1.000,1.000
NJ,"BOS Territory III",2.650,2.650
NE,"Balance of State / West",1.464,1.464
OH,Akron,1.000,1.000
MI,"BoS - Terr II",1.000,1.000
NJ,"BOS Territory I",1.000,1.000
TX,"Dallas (Central)",1.000,1.000
RI,"BoS - Terr I",1.000,1.000
OH,Cincinnati,1.000,1.000
TN,Nashville,1.000,1.000
CO,"Balance of State - West",0.401,0.401
CA,"Oakland / District I",1.000,1.000
CA,"City of San Diego / District I",1.000,1.000
