occIFL,aggIFL,factorIFL,classIFL
500000,2000000,1.560,0
50000,600000,0.900,0
50000,100000,0.850,0
1500000,1500000,2.020,0
1000000,5000000,1.880,0
300000,600000,1.340,0
500000,1500000,1.550,0
300000,1000000,1.350,0
200000,200000,1.150,0
2000000,2000000,2.160,0
500000,3000000,1.580,0
300000,3000000,1.390,0
1000000,4000000,1.870,0
4000000,5000000,2.530,0
3000000,5000000,2.390,0
100000,200000,1.000,0
10000000,10000000,3.060,0
1000000,3000000,1.860,0
500000,2500000,1.570,0
2000000,2500000,2.170,0
25000,50000,0.730,0
100000,300000,1.010,0
25000,300000,0.760,0
1000000,1500000,1.830,0
3000000,3000000,2.370,0
4000000,4000000,2.520,0
300000,2000000,1.370,0
100000,500000,1.030,0
2000000,3000000,2.180,0
100000,100000,0.960,0
3000000,4000000,2.380,0
1500000,4000000,2.060,0
10000000,20000000,3.070,0
50000,50000,0.810,0
5000000,5000000,2.640,0
200000,2000000,1.240,0
2000000,10000000,2.210,0
300000,300000,1.290,0
25000,200000,0.750,0
50000,200000,0.860,0
1000000,10000000,1.890,0
5000000,10000000,2.660,0
4000000,10000000,2.540,0
1500000,10000000,2.080,0
200000,1000000,1.220,0
500000,5000000,1.600,0
500000,500000,1.490,0
300000,2500000,1.380,0
200000,500000,1.200,0
300000,500000,1.330,0
500000,1000000,1.540,0
100000,600000,1.040,0
1500000,5000000,2.070,0
200000,300000,1.180,0
1000000,1000000,1.810,0
1500000,2500000,2.040,0
50000,500000,0.890,0
1000000,2000000,1.840,0
100000,1000000,1.050,0
1000000,2500000,1.850,0
500000,4000000,1.590,0
25000,100000,0.740,0
2000000,5000000,2.200,0
1500000,2000000,2.030,0
1500000,3000000,2.050,0
500000,600000,1.510,0
50000,300000,0.870,0
200000,600000,1.210,0
300000,1500000,1.360,0
2000000,4000000,1.190,0
200000,1500000,1.230,0
3000000,10000000,2.400,0
