aggregate,po_25000,po_50000,po_100000,po_200000,po_300000,po_500000,po_1000000,po_1500000,po_2000000,po_3000000,po_4000000,po_5000000,po_10000000
1500000,0.0,0.0,0.0,1.230,1.360,1.550,1.830,2.020,0.0,0.0,0.0,0.0,0.0
500000,0.0,0.890,1.030,1.200,1.330,1.490,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000000,0.0,0.0,0.0,0.0,0.0,1.600,1.880,2.070,2.200,2.390,2.530,2.640,0.0
100000,0.740,0.850,0.960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000000,0.0,0.0,0.0,0.0,1.390,1.580,1.860,2.050,2.180,2.370,0.0,0.0,0.0
4000000,0.0,0.0,0.0,0.0,0.0,1.590,1.870,2.060,1.190,2.380,2.520,0.0,0.0
2000000,0.0,0.0,0.0,1.240,1.370,1.560,1.840,2.030,2.160,0.0,0.0,0.0,0.0
10000000,0.0,0.0,0.0,0.0,0.0,0.0,1.890,2.080,2.210,2.400,2.540,2.660,3.060
600000,0.0,0.900,1.040,1.210,1.340,1.510,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000000,0.0,0.0,1.050,1.220,1.350,1.540,1.810,0.0,0.0,0.0,0.0,0.0,0.0
50000,0.730,0.810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000,0.750,0.860,1.000,1.150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500000,0.0,0.0,0.0,0.0,1.380,1.570,1.850,2.040,2.170,0.0,0.0,0.0,0.0
300000,0.760,0.870,1.010,1.180,1.290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
