classCode,occ,agg,factor
0,"               5,000,000 ","               5,000,000 ",2.640
0,"               1,500,000 ","               4,000,000 ",2.060
0,"                       50,000 ","                    200,000 ",0.860
0,"            10,000,000 ","            10,000,000 ",3.060
0,"               1,500,000 ","               2,000,000 ",2.030
0,"               1,000,000 ","               1,000,000 ",1.810
0,"               4,000,000 ","            10,000,000 ",2.540
0,"               3,000,000 ","               5,000,000 ",2.390
0,"                       25,000 ","                    100,000 ",0.740
0,"                    200,000 ","               2,000,000 ",1.240
0,"                    300,000 ","               1,000,000 ",1.350
0,"               5,000,000 ","            10,000,000 ",2.660
0,"                    500,000 ","               2,500,000 ",1.570
0,"                    300,000 ","                    500,000 ",1.330
0,"                       50,000 ","                       50,000 ",0.810
0,"               2,000,000 ","               2,000,000 ",2.160
0,"                       50,000 ","                    500,000 ",0.890
0,"               3,000,000 ","               3,000,000 ",2.370
0,"               1,500,000 ","               1,500,000 ",2.020
0,"                    300,000 ","                    600,000 ",1.340
0,"                    100,000 ","                    600,000 ",1.040
0,"25,000","50,000",0.730
0,"                    500,000 ","               1,000,000 ",1.540
0,"                    100,000 ","                    100,000 ",0.960
0,"               1,000,000 ","               2,000,000 ",1.840
0,"               1,500,000 ","               5,000,000 ",2.070
0,"                    500,000 ","               2,000,000 ",1.560
0,"               4,000,000 ","               4,000,000 ",2.520
0,"               1,000,000 ","               3,000,000 ",1.860
0,"                    500,000 ","               5,000,000 ",1.600
0,"               2,000,000 ","               5,000,000 ",2.200
0,"               1,500,000 ","            10,000,000 ",2.080
0,"                    100,000 ","                    200,000 ",1.000
0,"                    200,000 ","                    500,000 ",1.200
0,"                    300,000 ","                    300,000 ",1.290
0,"               2,000,000 ","               4,000,000 ",1.190
0,"               2,000,000 ","               2,500,000 ",2.170
0,"                    300,000 ","               1,500,000 ",1.360
0,"               3,000,000 ","               4,000,000 ",2.380
0,"                       50,000 ","                    600,000 ",0.900
0,"                       25,000 ","                    300,000 ",0.760
0,"                    100,000 ","                    500,000 ",1.030
0,"                    200,000 ","               1,000,000 ",1.220
0,"               3,000,000 ","            10,000,000 ",2.400
0,"                    100,000 ","                    300,000 ",1.010
0,"                    300,000 ","               2,500,000 ",1.380
0,"                    200,000 ","                    600,000 ",1.210
0,"                    500,000 ","               1,500,000 ",1.550
0,"               4,000,000 ","               5,000,000 ",2.530
0,"                    500,000 ","                    600,000 ",1.510
0,"                    200,000 ","               1,500,000 ",1.230
0,"               1,000,000 ","               2,500,000 ",1.850
0,"                    500,000 ","               3,000,000 ",1.580
0,"               1,000,000 ","               5,000,000 ",1.880
0,"                       25,000 ","                       50,000 ",0.730
0,"            10,000,000 ","            20,000,000 ",3.070
0,"                    500,000 ","               4,000,000 ",1.590
0,"               1,500,000 ","               3,000,000 ",2.050
0,"               1,500,000 ","               2,500,000 ",2.040
0,"               1,000,000 ","               1,500,000 ",1.830
0,"                    300,000 ","               2,000,000 ",1.370
0,"                       50,000 ","                    100,000 ",0.850
0,"                    500,000 ","                    500,000 ",1.490
0,"                       25,000 ","                    200,000 ",0.750
0,"               1,000,000 ","            10,000,000 ",1.890
0,"                    200,000 ","                    300,000 ",1.180
0,"               2,000,000 ","            10,000,000 ",2.210
0,"                       50,000 ","                    300,000 ",0.870
0,"               1,000,000 ","               4,000,000 ",1.870
0,"               2,000,000 ","               3,000,000 ",2.180
0,"                    100,000 ","               1,000,000 ",1.050
0,"                    300,000 ","               3,000,000 ",1.390
0,"                    200,000 ","                    200,000 ",1.150
