state,effectiveDate,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
TX,01/01/25,4.850,4.850,4.850,2.000,,2.000
AK,01/01/25,10.184,4.640,1.247,2.000,,2.000
CA,01/01/25,3.921,1.787,0.451,2.000,,2.000
AZ,01/01/25,4.489,4.850,4.850,2.000,,2.000
MS,01/01/25,11.764,5.360,8.704,2.000,,2.000
OH,01/01/25,5.418,4.850,4.850,2.000,,2.000
VA,01/01/25,5.377,2.450,2.325,2.000,,2.000
NJ,01/01/25,10.271,4.680,2.749,2.000,,2.000
NH,01/01/25,4.887,2.226,1.697,2.000,,2.000
PA,01/01/25,2.735,1.246,2.017,2.000,,2.000
WV,01/01/25,6.243,2.845,1.778,2.000,,2.000
LA,01/01/25,12.744,5.807,63.053,2.000,,2.000
CO,01/01/25,4.953,4.850,4.850,2.000,,2.000
SC,01/01/25,12.486,5.689,9.141,2.000,,2.000
AR,01/01/25,7.585,3.456,9.660,2.000,,2.000
KY,01/01/25,7.507,3.420,5.013,2.000,,2.000
MO,01/01/25,13.312,6.065,8.067,2.000,,2.000
VT,01/01/25,13.879,6.324,1.406,2.000,,2.000
IN,01/01/25,10.644,4.850,4.850,2.000,,2.000
NM,01/01/25,9.131,4.161,3.648,2.000,,2.000
MI,01/01/25,3.199,4.850,4.850,2.000,,2.000
KS,01/01/25,9.179,4.182,18.284,2.000,,2.000
NY,01/01/25,5.779,2.633,1.672,2.000,,2.000
MA,01/01/25,7.205,3.283,5.625,2.000,,2.000
IL,01/01/25,11.134,4.850,4.850,2.000,,2.000
WA,01/01/25,5.830,2.657,1.136,2.000,,2.000
ID,01/01/25,3.509,1.599,2.176,2.000,,2.000
RI,01/01/25,13.241,6.033,4.815,2.000,,2.000
NV,01/01/25,5.303,2.416,1.586,2.000,,2.000
OK,01/01/25,12.538,5.713,24.282,2.000,,2.000
DC,01/01/25,8.345,3.802,2.591,2.000,,2.000
UT,01/01/25,9.442,4.302,1.035,2.000,,2.000
CT,01/01/25,6.346,2.892,3.370,2.000,,2.000
ND,01/01/25,5.418,2.468,6.263,2.000,,2.000
ME,01/01/25,7.635,3.479,1.353,2.000,,2.000
GA,01/01/25,7.120,4.850,4.850,2.000,,2.000
WI,01/01/25,1.0,1.0,1.0,2.000,,2.000
NE,01/01/25,5.644,2.572,8.750,2.000,,2.000
MT,01/01/25,7.747,3.530,4.012,2.000,,2.000
DE,01/01/25,4.494,2.048,4.466,2.000,,2.000
AL,01/01/25,10.761,4.850,4.850,2.000,,2.000
SD,01/01/25,7.172,3.268,8.094,2.000,,2.000
IA,01/01/25,6.615,3.014,4.947,2.000,,2.000
MN,01/01/25,7.043,3.209,8.146,2.000,,2.000
MD,01/01/25,8.345,3.802,2.591,2.000,,2.000
NC,01/01/25,5.779,4.850,4.850,2.000,,2.000
OR,01/01/25,1.0,1.0,1.0,2.000,,2.000
TN,01/01/25,8.513,3.879,6.979,2.000,,2.000
WY,01/01/25,3.175,1.447,7.080,2.000,,2.000
