limit,form,coverage,constructionClass,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
"475,000",Basic,Contents,CC_4_6,1,1,0.673,0.707,1,1
"20,000",Broad,Contents,CC_4_6,1,1,1.19,1.19,1,1
"80,000",Basic,Contents,CC_4_6,1,1,0.921,0.915,1,1
"800,000",Basic,Building,CC_4_6,0.747,0.805,1,1,0.747,0.574
"225,000",Basic,Contents,CC_4_6,1,1,0.767,0.785,1,1
"1,900,000",Broad,Contents,CC_4_6,1,1,0.285,0.285,1,1
"6,500,000",Basic,Building,CC_4_6,0.442,0.554,1,1,0.442,0.364
"4,500,000",Basic,Building,CC_4_6,0.485,0.593,1,1,0.485,0.419
"60,000",Special,Contents,CC_1_3,1,0.892,0.892,,,
"8,500,000",Special,Building,CC_1_3,0.435,0.435,1,0.435,0.435,
"7,000,000",Basic,Building,CC_1_3,0.561,0.547,1,1,0.561,0.424
"800,000",Special,Building,CC_1_3,0.753,0.753,1,0.753,0.753,
"600,000",Broad,Building,CC_4_6,0.801,0.801,1,1,0.801,0.801
"1,100,000",Basic,Contents,CC_1_3,1,1,0.617,0.62,1,1
"2,250,000",Basic,Building,CC_1_3,0.683,0.665,1,1,0.683,0.568
"90,000",Broad,Contents,CC_1_3,1,1,0.79,0.79,1,1
"400,000",Special,Building,CC_4_6,0.884,0.884,1,0.884,0.884,
"4,000,000",Special,Building,CC_1_3,0.518,0.518,1,0.518,0.518,
"850,000",Basic,Contents,CC_4_6,1,1,0.607,0.647,1,1
"750,000",Broad,Contents,CC_1_3,1,1,0.39,0.39,1,1
"350,000",Broad,Contents,CC_1_3,1,1,0.504,0.504,1,1
"350,000",Basic,Building,CC_4_6,0.919,0.931,1,1,0.919,0.734
"125,000",Broad,Building,CC_1_3,1.126,1.126,1,1,1.126,1.126
"70,000",Special,Contents,CC_4_6,1,0.852,0.852,,,
"425,000",Special,Building,CC_1_3,0.873,0.873,1,0.873,0.873,
"650,000",Special,Contents,CC_1_3,1,0.408,0.408,,,
"500,000",Special,Contents,CC_4_6,1,0.443,0.443,,,
"750,000",Broad,Building,CC_4_6,0.763,0.763,1,1,0.763,0.763
"300,000",Broad,Building,CC_4_6,0.941,0.941,1,1,0.941,0.941
"3,500,000",Basic,Contents,CC_1_3,1,1,0.515,0.517,1,1
"325,000",Basic,Building,CC_1_3,0.956,0.942,1,1,0.956,0.935
"1,600,000",Broad,Contents,CC_1_3,1,1,0.302,0.302,1,1
"650,000",Broad,Contents,CC_4_6,1,1,0.408,0.408,1,1
"1,250,000",Special,Building,CC_4_6,0.66,0.66,1,0.66,0.66,
"1,500,000",Basic,Contents,CC_1_3,1,1,0.588,0.593,1,1
"200,000",Broad,Building,CC_1_3,1.025,1.025,1,1,1.025,1.025
"4,750,000",Basic,Building,CC_1_3,0.6,0.588,1,1,0.6,0.469
"100,000",Broad,Building,CC_4_6,1.174,1.174,1,1,1.174,1.174
-,Broad,Contents,CC_1_3,1,1,1.728,1.728,1,1
"2,500,000",Special,Building,CC_4_6,0.573,0.573,1,0.573,0.573,
"300,000",Special,Building,CC_1_3,0.941,0.941,1,0.941,0.941,
"550,000",Special,Building,CC_1_3,0.816,0.816,1,0.816,0.816,
"4,500,000",Broad,Building,CC_1_3,0.505,0.505,1,1,0.505,0.505
"4,750,000",Special,Building,CC_4_6,0.499,0.499,1,0.499,0.499,
"175,000",Special,Contents,CC_4_6,1,0.624,0.624,,,
"100,000",Special,Contents,CC_4_6,1,0.732,0.732,,,
"6,500,000",Basic,Building,CC_1_3,0.569,0.554,1,1,0.569,0.432
"5,500,000",Basic,Building,CC_1_3,0.585,0.569,1,1,0.585,0.451
-,Broad,Contents,CC_4_6,1,1,1.728,1.728,1,1
"800,000",Special,Building,CC_4_6,0.753,0.753,1,0.753,0.753,
"20,000",Basic,Contents,CC_1_3,1,1,1.154,1.08,1,1
"650,000",Special,Building,CC_4_6,0.788,0.788,1,0.788,0.788,
"9,000,000",Basic,Building,CC_1_3,0.537,0.525,1,1,0.537,0.398
"60,000",Broad,Contents,CC_1_3,1,1,0.892,0.892,1,1
"850,000",Broad,Building,CC_4_6,0.743,0.743,1,1,0.743,0.743
"9,500,000",Special,Building,CC_1_3,0.425,0.425,1,0.425,0.425,
"70,000",Broad,Contents,CC_1_3,1,1,0.852,0.852,1,1
"8,500,000",Basic,Building,CC_1_3,0.543,0.53,1,1,0.543,0.404
"300,000",Special,Contents,CC_4_6,1,0.529,0.529,,,
"200,000",Broad,Building,CC_4_6,1.025,1.025,1,1,1.025,1.025
-,Special,Building,CC_1_3,1.453,1.453,1,1.453,1.453,
"375,000",Basic,Building,CC_4_6,0.903,0.92,1,1,0.903,0.71
"1,800,000",Broad,Contents,CC_1_3,1,1,0.29,0.29,1,1
"300,000",Broad,Contents,CC_4_6,1,1,0.529,0.529,1,1
"50,000",Special,Building,CC_4_6,1.322,1.322,1,1.322,1.322,
"3,500,000",Broad,Contents,CC_1_3,1,1,0.225,0.225,1,1
"2,500,000",Basic,Contents,CC_1_3,1,1,0.543,0.54,1,1
"900,000",Basic,Building,CC_4_6,0.725,0.789,1,1,0.725,0.554
"3,500,000",Broad,Contents,CC_4_6,1,1,0.225,0.225,1,1
"100,000",Special,Building,CC_1_3,1.174,1.174,1,1.174,1.174,
"2,000,000",Basic,Building,CC_1_3,0.697,0.677,1,1,0.697,0.586
"75,000",Broad,Building,CC_4_6,1.237,1.237,1,1,1.237,1.237
"3,000,000",Special,Contents,CC_4_6,1,0.236,0.236,,,
"375,000",Special,Building,CC_1_3,0.897,0.897,1,0.897,0.897,
"1,250,000",Broad,Building,CC_4_6,0.66,0.66,1,1,0.66,0.66
"30,000",Special,Contents,CC_4_6,1,1.079,1.079,,,
"225,000",Basic,Building,CC_4_6,1.027,1,1,1,1.027,0.891
"9,000,000",Broad,Building,CC_4_6,0.43,0.43,1,1,0.43,0.43
"10,000",Special,Contents,CC_4_6,1,1.366,1.366,,,
-,Special,Contents,CC_1_3,1,1.728,1.728,,,
"425,000",Basic,Building,CC_4_6,0.875,0.901,1,1,0.875,0.672
"250,000",Broad,Contents,CC_4_6,1,1,0.56,0.56,1,1
"275,000",Special,Contents,CC_4_6,1,0.544,0.544,,,
