low,high,limit,factor
"              5,000 ","                    15,000 ","                    25,000 ",0.01
"              1,000 ","                       5,000 ","                 200,000 ",0.042
"                   500 ","                       1,000 ","                    25,000 ",0.085
"           15,000 ","                 100,000 ","                 100,000 ",0.008
"              5,000 ","                    15,000 ","                 200,000 ",0.017
"           15,000 ","                 100,000 ","                 500,000 ",0.009
"                        -   ",1,"                    25,000 ",0
"              5,000 ","                    15,000 ","            1,000,000 ",0.021
"                         1 ","                           500 ","                    50,000 ",0.116
"                         1 ","                           500 ","                 500,000 ",0.148
"              1,000 ","                       5,000 ","            1,000,000 ",0.053
"           15,000 ","                 100,000 ","                    25,000 ",0.006
"                   500 ","                       1,000 ","            1,000,000 ",0.138
"                   500 ","                       1,000 ","                 200,000 ",0.116
"                   500 ","                       1,000 ","                 500,000 ",0.126
"                        -   ",1,"            1,000,000 ",0
"              5,000 ","                    15,000 ","                    50,000 ",0.012
"              1,000 ","                       5,000 ","                 500,000 ",0.047
"           15,000 ","                 100,000 ","                 200,000 ",0.008
"                        -   ",1,"                 500,000 ",0
"                        -   ",1,"                    50,000 ",0
"                   500 ","                       1,000 ","                    50,000 ",0.095
"           15,000 ","                 100,000 ","                    50,000 ",0.007
"                         1 ","                           500 ","                    25,000 ",0.106
"                        -   ",1,"                 100,000 ",0
"           15,000 ","                 100,000 ","            1,000,000 ",0.01
"                         1 ","                           500 ","                 200,000 ",0.138
"              5,000 ","                    15,000 ","                 500,000 ",0.019
"              1,000 ","                       5,000 ","                    25,000 ",0.026
"                         1 ","                           500 ","                 100,000 ",0.126
"              1,000 ","                       5,000 ","                    50,000 ",0.032
"              1,000 ","                       5,000 ","                 100,000 ",0.037
"                   500 ","                       1,000 ","                 100,000 ",0.106
"                         1 ","                           500 ","            1,000,000 ",0.158
"              5,000 ","                    15,000 ","                 100,000 ",0.015
"                        -   ",1,"                 200,000 ",0
