roofAge,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
15-18,1.002,1.002,1,1,1.002,1.002
9,0.993,0.993,1,1,0.993,0.993
4,0.976,0.976,1,1,0.976,0.976
11-12,0.998,0.998,1,1,0.998,0.998
1,0.962,0.962,1,1,0.962,0.962
13-14,1,1,1,1,1,1
3,0.971,0.971,1,1,0.971,0.971
23-26,1.005,1.005,1,1,1.005,1.005
7,0.988,0.988,1,1,0.988,0.988
27-30,1.005,1.005,1,1,1.005,1.005
5,0.98,0.98,1,1,0.98,0.98
31-999,1.006,1.006,1,1,1.006,1.006
10,0.996,0.996,1,1,0.996,0.996
0,0.957,0.957,1,1,0.957,0.957
6,0.985,0.985,1,1,0.985,0.985
19-22,1.004,1.004,1,1,1.004,1.004
2,0.967,0.967,1,1,0.967,0.967
8,0.99,0.99,1,1,0.99,0.99
