zipCode,city,county,state,territory
16055,Sarver,Butler,PA,513
29145,Silverstreet,Newberry,SC,1
15701,Indiana,Indiana,PA,513
43526,Hicksville,Defiance,OH,509
16041,"Karns City",Butler,PA,513
49655,Leroy,Osceola,MI,505
60086,"North Chicago",Lake,IL,509
53934,Friendship,Adams,WI,503
72837,Dover,Pope,AR,501
53920,Briggsville,Marquette,WI,503
6390,"Fishers Island",Suffolk,NY,16
45254,Cincinnati,Hamilton,OH,503
45383,"West Milton",Miami,OH,509
80862,"Wild Horse",Cheyenne,CO,502
86303,Prescott,Yavapai,AZ,504
44012,"Avon Lake",Lorain,OH,509
28604,"Banner Elk",Avery,NC,501
2874,Saunderstown,Washington,RI,503
77332,Dallardsville,Polk,TX,6
83256,Moreland,Bingham,ID,501
49431,Ludington,Mason,MI,505
75231,Dallas,Dallas,TX,1
16740,"Mount Jewett",Mckean,PA,513
28625,Statesville,Iredell,NC,501
76940,Mereta,"Tom Green",TX,6
14818,Burdett,Schuyler,NY,24
39061,"Delta City",Sharkey,MS,501
75550,Annona,"Red River",TX,6
61534,"Green Valley",Tazewell,IL,514
65261,Keytesville,Chariton,MO,503
37384,"Soddy Daisy ",Hamilton,TN,505
97283," "," ",OR,501
12209,Albany,Albany,NY,2
64109,"Kansas City",Jackson,MO,501
17581,"Terre Hill",Lancaster,PA,512
45274,Cincinnati,Hamilton,OH,503
2025,Cohasset,Norfolk,MA,516
29307,Spartanburg,Spartanburg,SC,1
31908,Columbus,Muscogee,GA,503
85547,Payson,Gila,AZ,504
97325," "," ",OR,502
61884,"White Heath",Piatt,IL,514
43340,"Mount Victory",Hardin,OH,509
12133,"North Hoosick",Rensselaer,NY,18
19602,Reading,Berks,PA,510
43055,Newark,Licking,OH,509
22902,Charlottesville,"Charlottesville City",VA,504
21501,Cumberland,Allegany,MD,501
31060,Milan,Telfair,GA,503
97364," "," ",OR,502
20101,Dulles,Loudoun,VA,504
30527,Clermont,Hall,GA,503
52142,Fayette,Fayette,IA,502
24009,Roanoke,"Roanoke City",VA,504
38007,Bogota,Dyer,TN,505
20997,"Silver Spring",Montgomery,MD,502
7877,Swartswood,Sussex,NJ,517
75116,Duncanville,Dallas,TX,1
60424,Gardner,Grundy,IL,514
62012,Brighton,Macoupin,IL,514
12547,Milton,Ulster,NY,12
47361,"Mount Summit","Mount Summit",IN,506
75834,Centralia,Trinity,TX,6
18911,"Blooming Glen",Bucks,PA,513
54005,"Clear Lake",Polk,WI,503
62365,Plainville,Adams,IL,514
72722,Decatur,Benton,AR,501
19012,Cheltenham,Montgomery,PA,507
1532,Northborough,Worcester,MA,517
36640,Mobile,Mobile,AL,503
62613,Athens,Menard,IL,514
85704,Tucson,Pima,AZ,503
61745,Heyworth,Mclean,IL,514
47962,Montmorenci,Montmorenci,IN,506
77227,Houston,Harris,TX,4
50044,Bussey,Marion,IA,502
62786,Springfield,Sangamon,IL,508
1931,Gloucester,Essex,MA,516
72503,Batesville,Independence,AR,501
76271,Tioga,Grayson,TX,6
77202,Houston,Harris,TX,4
10927,Haverstraw,Rockland,NY,12
28704,Arden,Buncombe,NC,501
24060,Blacksburg,Montgomery,VA,504
30107,"Ball Ground",Cherokee,GA,503
13656,"La Fargeville",Jefferson,NY,17
1021,Chicopee,Hampden,MA,510
14784,Stockton,Chautauqua,NY,22
35652,Rogersville,Lauderdale,AL,503
43432,Graytown,Ottawa,OH,509
85257,Scottsdale,Maricopa,AZ,502
14803,"Alfred Station",Allegany,NY,24
16233,Leeper,Clarion,PA,513
62695,Woodson,Morgan,IL,514
46163,"New Palestine","New Palestine",IN,506
37318,Cowan,Franklin,TN,505
10470,Bronx,Bronx,NY,1
48386,"White Lake",Oakland,MI,505
65345,Mora,Pettis,MO,503
28053,Gastonia,Gaston,NC,501
47611,Chrisney,Chrisney,IN,506
97453," "," ",OR,502
11715,"Blue Point",Suffolk,NY,16
10451,Bronx,Bronx,NY,1
47381,Salamonia,Salamonia,IN,506
44484,Warren,Trumbull,OH,509
35581,"Phil Campbell",Franklin,AL,503
60958,"Pembroke Township",Kankakee,IL,514
76832,Cherokee,"San Saba",TX,6
27867,Potecasi,Northampton,NC,501
77475,Sheridan,Colorado,TX,6
1111,Springfield,Hampden,MA,508
44116,"Rocky River",Cuyahoga,OH,501
37310,Charleston,Bradley,TN,505
39342,Marion,Lauderdale,MS,501
75850,Leona,Leon,TX,6
47106,Borden,Borden,IN,506
31823,"Pine Mountain Valley",Harris,GA,503
97637," "," ",OR,502
2875,Shannock,Washington,RI,503
47010,Bath,Bath,IN,506
71744,Hampton,Calhoun,AR,501
45449,Dayton,Montgomery,OH,509
29331,"Cross Anchor",Spartanburg,SC,1
63025,Eureka,"Saint Louis",MO,502
45893,Vaughnsville,Putnam,OH,509
76570,Rosebud,Falls,TX,6
54645,"Mount Sterling",Crawford,WI,503
60536,Millbrook,Kendall,IL,514
83865,Colburn,Bonner,ID,501
28234,Charlotte,Mecklenburg,NC,501
11770,"Ocean Beach",Suffolk,NY,16
75856,Pennington,Trinity,TX,6
29054,Gilbert,Lexington,SC,1
47132,Jeffersonville,Jeffersonville,IN,506
75963,Nacogdoches,Nacogdoches,TX,6
45352,Palestine,Darke,OH,509
80906,"Colorado Springs","El Paso",CO,502
29621,Anderson,Anderson,SC,1
60568,Aurora,Kane,IL,509
61108,Rockford,Winnebago,IL,508
2070,Sheldonville,Norfolk,MA,516
11202,Brooklyn,Kings,NY,1
24282,"Saint Charles",Lee,VA,504
7538,Haledon,Passaic,NJ,505
20142,"Round Hill",Loudoun,VA,504
44320,Akron,Summit,OH,504
23909,Farmville,"Prince Edward",VA,504
27253,Graham,Alamance,NC,501
17777,Watsontown,Northumberland,PA,513
38632,Hernando,Desoto,MS,501
14486,Linwood,Genesee,NY,24
17219,Doylesburg,Franklin,PA,512
79741,Goldsmith,Ector,TX,6
71646,Hamburg,Ashley,AR,501
14714,"Black Creek",Allegany,NY,24
45870,"New Hampshire",Auglaize,OH,509
16534,Erie,Erie,PA,509
52554,Eldon,Wapello,IA,502
19510,Blandon,Berks,PA,512
65072,"Rocky Mount",Morgan,MO,503
83548,Reubens,Lewis,ID,501
76670,Milford,Ellis,TX,6
28659,"North Wilkesboro",Wilkes,NC,501
63336,Clarksville,Pike,MO,503
28377,"Red Springs",Robeson,NC,501
31997,Columbus,Muscogee,GA,503
24486,"Weyers Cave",Augusta,VA,504
81002,Pueblo,Pueblo,CO,502
45628,Frankfort,Ross,OH,509
83809,Careywood,Bonner,ID,501
83283,Thatcher,Franklin,ID,501
14066,Gainesville,Wyoming,NY,24
31605,Valdosta,Lowndes,GA,503
45314,Cedarville,Greene,OH,509
72680,Timbo,Stone,AR,501
54230,Reedsville,Manitowoc,WI,503
1889,"North Reading",Middlesex,MA,516
83340,Ketchum,Blaine,ID,501
48367,Leonard,Oakland,MI,505
45713,Bartlett,Washington,OH,509
72672,Pyatt,Marion,AR,501
63117,"Saint Louis","Saint Louis",MO,502
24594,Sutherlin,Pittsylvania,VA,504
27891,Whitakers,Nash,NC,501
60963,Rossville,Vermilion,IL,514
47564,Otwell,Otwell,IN,506
38059,Newbern,Dyer,TN,505
38579,Quebeck,White,TN,505
17080,Pillow,Dauphin,PA,512
80271,Denver,Denver,CO,501
46324,Hammond,Hammond,IN,502
24439,Goshen,Rockbridge,VA,504
16361,Tylersburg,Clarion,PA,513
13843,"South New Berlin",Chenango,NY,24
10512,Carmel,Putnam,NY,18
50132,Kamrar,Hamilton,IA,502
65613,Bolivar,Polk,MO,503
8070,Pennsville,Salem,NJ,517
77835,Burton,Washington,TX,6
10580,Rye,Westchester,NY,9
72440,Lynn,Lawrence,AR,501
85716,Tucson,Pima,AZ,503
72303,"West Memphis",Crittenden,AR,501
62058,Livingston,Madison,IL,514
51593,Harlan,Shelby,IA,502
20849,Rockville,Montgomery,MD,501
13502,Utica,Oneida,NY,5
54155,Oneida,Brown,WI,503
60404,Shorewood,Will,IL,509
65710,Morrisville,Polk,MO,503
38803,Tupelo,Lee,MS,501
31642,Pearson,Atkinson,GA,503
53181,"Twin Lakes",Kenosha,WI,503
37030,Carthage,Smith,TN,505
43939,"Mount Pleasant",Jefferson,OH,509
