zipCode,city,county,state,group1,group2,windstormHailExclusion,group1Structure,group2Structure,group1Contents,group2Contents
16055,Sarver,Butler,PA,"Zone 3","Zone 3","Zone 3",1.000,1.000,0.855,1.000
29145,Silverstreet,Newberry,SC,Inland,Inland,Inland,1.000,0.188,1.000,0.188
15701,Indiana,Indiana,PA,"Zone 3","Zone 3","Zone 3",1.000,1.000,0.855,1.000
43526,Hicksville,Defiance,OH,"Balance of State","Balance of State","Balance of State",0.644,1.000,0.647,1.000
16041,"Karns City",Butler,PA,"Zone 3","Zone 3","Zone 3",1.000,1.000,0.855,1.000
49655,Leroy,Osceola,MI,"BoS - Terr I","BoS - Terr I","BoS - Terr I",0.255,1.000,0.256,1.000
60086,"North Chicago",Lake,IL,"Balance of State - Balance of State","Balance of State - Balance of State","Balance of State - Balance of State",0.625,1.289,0.627,1.289
53934,Friendship,Adams,WI,"Balance of State","Balance of State","Balance of State",0.644,1.000,0.647,1.000
72837,Dover,Pope,AR,"Entire State","Entire State","Entire State",1.000,1.000,1.000,1.000
53920,Briggsville,Marquette,WI,"Balance of State","Balance of State","Balance of State",0.644,1.000,0.647,1.000
6390,"Fishers Island",Suffolk,NY,"BOS - Terr 3","BOS - Terr 3","BOS - Terr 3",0.655,2.429,0.683,2.429
45254,Cincinnati,Hamilton,OH,Cincinnati,Cincinnati,Cincinnati,0.454,1.000,0.453,1.000
45383,"West Milton",Miami,OH,"Balance of State","Balance of State","Balance of State",0.644,1.000,0.647,1.000
80862,"Wild Horse",Cheyenne,CO,"Balance of State - East","Balance of State - East","Balance of State - East",0.681,1.000,0.690,1.000
86303,Prescott,Yavapai,AZ,"Balance of State","Balance of State","Balance of State",0.644,1.000,0.647,1.000
44012,"Avon Lake",Lorain,OH,"Balance of State","Balance of State","Balance of State",0.644,1.000,0.647,1.000
28604,"Banner Elk",Avery,NC,"Balance of State -  Terr I","Balance of State -  Terr I","Balance of State -  Terr I",0.757,1.000,0.754,1.000
2874,Saunderstown,Washington,RI,"BoS - Terr I","BoS - Terr I","BoS - Terr I",0.255,1.000,0.256,1.000
77332,Dallardsville,Polk,TX,"Balance Central","Balance Central","Balance Central",1.022,1.000,1.022,1.000
83256,Moreland,Bingham,ID,"Entire State","Entire State","Entire State",1.000,1.000,1.000,1.000
49431,Ludington,Mason,MI,"BoS - Terr I","BoS - Terr I","BoS - Terr I",0.255,1.000,0.256,1.000
75231,Dallas,Dallas,TX,"Dallas (Central)","Dallas (Central)","Dallas (Central)",1.000,1.000,1.000,1.000
16740,"Mount Jewett",Mckean,PA,"Zone 3","Zone 3","Zone 3",1.000,1.000,0.855,1.000
28625,Statesville,Iredell,NC,"Balance of State -  Terr I","Balance of State -  Terr I","Balance of State -  Terr I",0.757,1.000,0.754,1.000
76940,Mereta,"Tom Green",TX,"Balance Northern","Balance Northern","Balance Northern",1.022,2.491,1.022,2.491
14818,Burdett,Schuyler,NY,"BOS - Terr 1","BOS - Terr 1","BOS - Terr 1",0.655,1.000,0.683,1.000
39061,"Delta City",Sharkey,MS,"Entire State - Med Wind Hazard","Entire State - Med Wind Hazard","Entire State - Med Wind Hazard",1.000,0.143,1.000,1.000
75550,Annona,"Red River",TX,"Balance Central","Balance Central","Balance Central",1.022,1.000,1.022,1.000
61534,"Green Valley",Tazewell,IL,"Balance of State - Balance of State","Balance of State - Balance of State","Balance of State - Balance of State",0.625,1.289,0.627,1.289
65261,Keytesville,Chariton,MO,"Balance of State","Balance of State","Balance of State",0.644,1.000,0.647,1.000
37384,"Soddy Daisy ",Hamilton,TN,"Balance of State","Balance of State","Balance of State",0.644,1.000,0.647,1.000
97283," "," ",OR,Portland,Portland,Portland,1.000,1.000,1.000,1.000
12209,Albany,Albany,NY,"BOS - Terr 1","BOS - Terr 1","BOS - Terr 1",0.655,1.000,0.683,1.000
64109,"Kansas City",Jackson,MO,"Kansas City","Kansas City","Kansas City",1.000,1.000,1.000,1.000
17581,"Terre Hill",Lancaster,PA,"Zone 1","Zone 1","Zone 1",0.803,1.000,0.692,1.000
45274,Cincinnati,Hamilton,OH,Cincinnati,Cincinnati,Cincinnati,0.454,1.000,0.453,1.000
2025,Cohasset,Norfolk,MA,"Remainder of State (Terr II)","Remainder of State (Terr II)","Remainder of State (Terr II)",1.075,1.373,1.075,1.373
29307,Spartanburg,Spartanburg,SC,Inland,Inland,Inland,1.000,0.188,1.000,0.188
31908,Columbus,Muscogee,GA,"Balance of State - Inland","Balance of State - Inland","Balance of State - Inland",0.660,1.000,0.663,1.000
85547,Payson,Gila,AZ,"Balance of State","Balance of State","Balance of State",0.644,1.000,0.647,1.000
97325," "," ",OR,"Balance of State","Balance of State","Balance of State",0.644,1.000,0.647,1.000
61884,"White Heath",Piatt,IL,"Balance of State - Balance of State","Balance of State - Balance of State","Balance of State - Balance of State",0.625,1.289,0.627,1.289
43340,"Mount Victory",Hardin,OH,"Balance of State","Balance of State","Balance of State",0.644,1.000,0.647,1.000
12133,"North Hoosick",Rensselaer,NY,"BOS - Terr 1","BOS - Terr 1","BOS - Terr 1",0.655,1.000,0.683,1.000
19602,Reading,Berks,PA,"Zone 1","Zone 1","Zone 1",0.803,1.000,0.692,1.000
43055,Newark,Licking,OH,"Balance of State","Balance of State","Balance of State",0.644,1.000,0.647,1.000
22902,Charlottesville,"Charlottesville City",VA,"Balance of State / Wind Hazard Med","Balance of State / Wind Hazard Med","Balance of State / Wind Hazard Med",0.700,1.000,0.700,1.000
21501,Cumberland,Allegany,MD,"BoS - Inland","BoS - Inland","BoS - Inland",0.835,1.000,0.835,1.000
31060,Milan,Telfair,GA,"Balance of State - Inland","Balance of State - Inland","Balance of State - Inland",0.660,1.000,0.663,1.000
97364," "," ",OR,"Balance of State","Balance of State","Balance of State",0.644,1.000,0.647,1.000
20101,Dulles,Loudoun,VA,"Balance of State / Wind Hazard Med","Balance of State / Wind Hazard Med","Balance of State / Wind Hazard Med",0.700,1.000,0.700,1.000
30527,Clermont,Hall,GA,"Balance of State - Inland","Balance of State - Inland","Balance of State - Inland",0.660,1.000,0.663,1.000
52142,Fayette,Fayette,IA,"Entire State","Entire State","Entire State",1.000,1.000,1.000,1.000
24009,Roanoke,"Roanoke City",VA,"Balance of State / Wind Hazard Med","Balance of State / Wind Hazard Med","Balance of State / Wind Hazard Med",0.700,1.000,0.700,1.000
38007,Bogota,Dyer,TN,"Balance of State","Balance of State","Balance of State",0.644,1.000,0.647,1.000
20997,"Silver Spring",Montgomery,MD,"Montgomery CO - Inland","Montgomery CO - Inland","Montgomery CO - Inland",0.708,1.000,0.708,1.000
7877,Swartswood,Sussex,NJ,"BOS Territory I","BOS Territory I","BOS Territory I",0.658,1.000,0.658,1.000
75116,Duncanville,Dallas,TX,"Dallas (Central)","Dallas (Central)","Dallas (Central)",1.000,1.000,1.000,1.000
60424,Gardner,Grundy,IL,"Balance of State - Balance of State","Balance of State - Balance of State","Balance of State - Balance of State",0.625,1.289,0.627,1.289
62012,Brighton,Macoupin,IL,"Balance of State - Balance of State","Balance of State - Balance of State","Balance of State - Balance of State",0.625,1.289,0.627,1.289
12547,Milton,Ulster,NY,"BOS - Terr 1","BOS - Terr 1","BOS - Terr 1",0.655,1.000,0.683,1.000
47361,"Mount Summit","Mount Summit",IN,"Balance of State","Balance of State","Balance of State",0.644,1.000,0.647,1.000
75834,Centralia,Trinity,TX,"Balance Central","Balance Central","Balance Central",1.022,1.000,1.022,1.000
18911,"Blooming Glen",Bucks,PA,"Zone 1","Zone 1","Zone 1",0.803,1.000,0.692,1.000
54005,"Clear Lake",Polk,WI,"Balance of State","Balance of State","Balance of State",0.644,1.000,0.647,1.000
62365,Plainville,Adams,IL,"Balance of State - Balance of State","Balance of State - Balance of State","Balance of State - Balance of State",0.625,1.289,0.627,1.289
72722,Decatur,Benton,AR,"Entire State","Entire State","Entire State",1.000,1.000,1.000,1.000
19012,Cheltenham,Montgomery,PA,"Zone 1","Zone 1","Zone 1",0.803,1.000,0.692,1.000
1532,Northborough,Worcester,MA,"Remainder of State (Terr I)","Remainder of State (Terr I)","Remainder of State (Terr I)",1.075,1.000,1.075,1.000
36640,Mobile,Mobile,AL,"City of Mobile - Beach","City of Mobile - Beach","City of Mobile - Beach",0.482,9.901,0.482,9.901
62613,Athens,Menard,IL,"Balance of State - Balance of State","Balance of State - Balance of State","Balance of State - Balance of State",0.625,1.289,0.627,1.289
85704,Tucson,Pima,AZ,Tuscon,Tuscon,Tuscon,0.723,1.000,0.733,1.000
61745,Heyworth,Mclean,IL,"Balance of State - Balance of State","Balance of State - Balance of State","Balance of State - Balance of State",0.625,1.289,0.627,1.289
47962,Montmorenci,Montmorenci,IN,"Balance of State","Balance of State","Balance of State",0.644,1.000,0.647,1.000
77227,Houston,Harris,TX,"Houston (Seacoast 2)","Houston (Seacoast 2)","Houston (Seacoast 2)",1.187,2.693,1.189,2.693
50044,Bussey,Marion,IA,"Entire State","Entire State","Entire State",1.000,1.000,1.000,1.000
