tier,scoreFrom,to,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
9,854,900,0.91,0.91,0.91,0.91,0.91,0.91
4,690,726,1.03,1.03,1.03,1.03,1.03,1.03
98,998,998,1.00,1.00,1.00,1.00,1.00,1.00
1,200,555,1.21,1.21,1.21,1.21,1.21,1.21
3,636,689,1.09,1.09,1.09,1.09,1.09,1.09
7,792,820,0.95,0.95,0.95,0.95,0.95,0.95
99,999,999,1.00,1.00,1.00,1.00,1.00,1.00
5,727,762,1.00,1.00,1.00,1.00,1.00,1.00
10,901,997,0.89,0.89,0.89,0.89,0.89,0.89
6,763,791,0.99,0.99,0.99,0.99,0.99,0.99
2,556,635,1.12,1.12,1.12,1.12,1.12,1.12
8,821,853,0.95,0.95,0.95,0.95,0.95,0.95
